ts,usd_per_btc,price_equalized,residual_log10,sigma_roll,k_equalizer
2015-09-23,230.94,48.5751757696892,-0.3385423903526359,0.030201080392960957,3.0
2015-09-24,230.36,47.97704404336424,-0.3406867915540679,0.030201080392960957,3.0
2015-09-25,234.36,50.27579921372095,-0.3342622531054529,0.030201080392960957,3.0
2015-09-26,235.08,50.49549752431894,-0.3339815132244053,0.030201080392960957,3.0
2015-09-27,234.14,49.651274578547635,-0.3367726062195988,0.030201080392960957,3.0
2015-09-28,232.84,48.59315937341569,-0.34024122708964377,0.030201080392960957,3.0
2015-09-29,239.02,52.31241265079041,-0.32991474594599346,0.030201080392960957,3.0
2015-09-30,236.64,50.52042634708673,-0.3353105748490748,0.030201080392960957,3.0
2015-10-01,236.0,49.87006242508092,-0.3375360455606402,0.030201080392960957,3.0
2015-10-02,237.26,50.42892371922536,-0.33627241337519864,0.030201080392960957,3.0
2015-10-03,237.2,50.147957013784605,-0.3374307198863664,0.030201080392960957,3.0
2015-10-04,238.53,50.75071158545145,-0.33605043611165675,0.030201080392960957,3.0
2015-10-05,238.15,50.26545749889469,-0.33779047306988064,0.030201080392960957,3.0
2015-10-06,240.36,51.42923785207549,-0.3348260534673817,0.030201080392960957,3.0
2015-10-07,246.17,54.9838756035249,-0.3254998886532867,0.030201080392960957,3.0
2015-10-08,243.07,52.67825393292421,-0.3320499947665967,0.030201080392960957,3.0
2015-10-09,242.5,52.05718523355824,-0.3341155305600769,0.030201080392960957,3.0
2015-10-10,243.74,52.60595203342039,-0.332945961082983,0.030201080392960957,3.0
2015-10-11,244.74,53.00040504535261,-0.33221288353781064,0.030201080392960957,3.0
2015-10-12,246.88,54.14180748913243,-0.32947657920146245,0.030201080392960957,3.0
2015-10-13,245.2,52.789551105639816,-0.3334862484198915,0.030201080392960957,3.0
2015-10-14,249.49,55.342451332085105,-0.32699737559899944,0.030201080392960957,3.0
2015-10-15,252.11,56.83062268744795,-0.3235038289073304,0.030201080392960957,3.0
2015-10-16,254.3,58.04507211961781,-0.3207905025217177,0.030201080392960957,3.0
2015-10-17,262.75,63.71906110531256,-0.3076366784072655,0.030201080392960957,3.0
2015-10-18,270.91,69.50756317027229,-0.29539648660441964,0.030201080392960957,3.0
2015-10-19,261.86,62.47137226474758,-0.3111940588245363,0.030201080392960957,3.0
2015-10-20,263.57,63.398491720647556,-0.30940852531808316,0.030201080392960957,3.0
2015-10-21,269.31,67.30800465675117,-0.30109288189949934,0.030201080392960957,3.0
2015-10-22,266.5,64.91125938233581,-0.30668858907080043,0.030201080392960957,3.0
2015-10-23,273.65,69.94146247984305,-0.29623037164437616,0.030201080392960957,3.0
2015-10-24,276.5,71.80497783949848,-0.29277029156766377,0.030201080392960957,3.0
2015-10-25,281.45,75.36930923233962,-0.2861033590304385,0.030201080392960957,3.0
2015-10-26,283.63,76.76614589648483,-0.2837912139497196,0.030201080392960957,3.0
2015-10-27,285.18,77.65934756663387,-0.28246266352855276,0.030201080392960957,3.0
2015-10-28,293.7,84.4252818314827,-0.270715713717812,0.030201080392960957,3.0
2015-10-29,304.32,93.47105295714083,-0.2563266800930428,0.030201080392960957,3.0
2015-10-30,313.94,102.1295489961482,-0.24384761993416815,0.030201080392960957,3.0
2015-10-31,328.51,116.46189982435904,-0.22518236191024243,0.030201080392960957,3.0
2015-11-01,315.01,102.19710115957933,-0.24444288178511764,0.030201080392960957,3.0
2015-11-02,325.94,112.66962196549241,-0.2306654120288667,0.03241263196141259,3.0
2015-11-03,361.87,153.45488700436593,-0.1862859283293994,0.03723136543449236,3.0
2015-11-04,403.66,211.98253870062234,-0.13985781345746862,0.04466778551446306,3.0
2015-11-05,408.08,217.98151212083587,-0.13616282479959985,0.05074759312444569,3.0
2015-11-06,388.05,186.54276476847792,-0.15905463928844554,0.054320398859494134,3.0
