rel_day,dd_pct_2021,dd_pct_2025,dd_pct_2021_scaled,dd_pct_2025_scaled
-300,-49.792367785926004,-42.19699308364293,-28.74763694479323,-42.19699308364293
-299,-44.74424990299739,-42.243290248245735,-25.83310472618343,-42.243290248245735
-298,-42.03276608211461,-41.70443518388507,-24.26762881229344,-41.70443518388507
-297,-45.489567463852175,-43.09106905729004,-26.263414020574693,-43.09106905729004
-296,-46.46366462160544,-43.08964972815622,-26.82580927682039,-43.08964972815622
-295,-47.01349657504183,-43.6883700677679,-27.143254903145948,-43.6883700677679
-294,-45.755179184283925,-42.411311782848045,-26.416765018865885,-42.411311782848045
-293,-46.63174819499648,-43.70946569185791,-26.922852373164062,-43.70946569185791
-292,-47.37299468110383,-43.37596558735135,-27.350811231454006,-43.37596558735135
-291,-54.3778635384627,-42.6162950136433,-31.395074151888174,-42.6162950136433
-290,-51.168183795849366,-40.937279338673726,-29.541964688477876,-40.937279338673726
-289,-52.53218628705103,-38.567236240068716,-30.32947189394848,-38.567236240068716
-288,-52.20439815229461,-38.88854532112237,-30.14022332610969,-38.88854532112237
-287,-52.096610896890326,-40.6780405620611,-30.07799232518682,-40.6780405620611
-286,-51.79250901520997,-41.29551632236952,-29.902419021937597,-41.29551632236952
-285,-54.93536391633245,-41.45573154673588,-31.716947145124593,-41.45573154673588
-284,-49.19495607162309,-41.92398343507726,-28.402721130723403,-41.92398343507726
-283,-49.228620158807445,-42.71049453651216,-28.422157100521314,-42.71049453651216
-282,-49.26570394877966,-41.403250162335766,-28.443567436644344,-41.403250162335766
-281,-50.97747985077068,-36.09885390862123,-29.431861714451173,-36.09885390862123
-280,-50.357758646851735,-35.87433800546071,-29.074065510546053,-35.87433800546071
-279,-47.4301081588335,-35.322362595,-27.383785713195582,-35.322362595
-278,-44.52219128040926,-35.137038762385544,-25.704899120656293,-35.137038762385544
-277,-45.326872513035944,-32.01463294543405,-26.16948204692515,-32.01463294543405
-276,-43.540277659140905,-25.0581037864153,-25.13799102709605,-25.0581037864153
-275,-41.89437914851768,-25.713352288135983,-24.187731078928927,-25.713352288135983
-274,-42.43229395587517,-23.47882977664659,-24.498296337757857,-23.47882977664659
-273,-31.628164909023326,-26.25894071749454,-18.260529524198493,-26.25894071749454
-272,-31.206594015993836,-23.065289647058474,-18.017135455625404,-23.065289647058474
-271,-33.532362009441044,-23.492702029252033,-19.359918232714765,-23.492702029252033
-270,-29.123269626688362,-24.096542091810658,-16.814327558650575,-24.096542091810658
