model,implied_bottom_usd,vs_real_peak_pct
retr_顶→底回撤,38012.54086640003,-69.5217178993376
mult_底→底倍数,14554.20787640548,-88.33050242634889
trend_底→底log,238823.37076352036,91.48749071903362
联合拟合最优,34200.0,-72.57859579799855
联合下界,29600.0,-76.26685484271218
联合上界,39600.0,-68.24890039768252
