周期,peak锚点,同相位天数,观察日,活跃地址_peak_30DMA,活跃地址_同相位_30DMA,活跃地址_变化,确认交易_peak_30DMA,确认交易_同相位_30DMA,确认交易_变化,活跃地址_peak_日期,确认交易_peak_日期,确认交易_观察日
2017,2017-12-16,365,2018-12-16,810295.2333333333,440891.6666666667,-0.455887621536463,366250.1,255359.86666666667,-0.3027718854775284,2017-12-16,2017-12-16,2018-12-16
2021,2021-11-08,365,2022-11-08,681514.7,641646.9666666667,-0.058498713723025064,273259.06666666665,261874.66666666666,-0.041661563654124545,2021-11-08,2021-11-08,2022-11-08
2025,2025-08-12,365,2026-08-12,555025.4,483198.0,-0.12941281606211175,426621.3,666376.7666666667,0.5619866299846414,2025-08-12,2025-08-12,2026-08-12
