cycle,peak_date,latest_or_bottom_date,days_after_peak,min_date,min_days_after_peak,min_ahr999,last_ahr999,last_price
2017（参照）,2017-12-16,2019-07-05,566,2018-12-15,364,0.2717933583295227,2.864892995337599,11038.61
2021（参照）,2021-11-08,2023-05-28,566,2022-11-09,366,0.26020050579705367,0.6744278808290413,28099.42
2025（本轮·重点看）,2025-08-12,2026-09-22,406,2026-02-05,177,0.2796532770783403,0.5959267495217905,85938.03125
