口径,最新日期,最新,基准日期,基准,变化
long holder 供应,2026-08-07,14700000.0,2025-10-06,14120000.0,0.04107648725212465
long holder 占流通供应比例,2026-08-07,0.7361,2025-10-06,0.7114,0.024699999999999944
