情形,低点日期,低点价格,低点后150天内最大涨幅,低点后84天时涨幅,之后是否跌破这个低点,之后最低价
2018-12 真底（2017 轮）,2018-12-15,3183,151.0,23.1,否,3195.0
2022-11 真底（2021 轮）,2022-11-21,15756,93.5,38.3,否,16194.0
2018-02 熊市中途低点,2018-02-05,6905,66.1,33.9,是,3183.0
2022-06 熊市中途低点,2022-06-18,18989,28.7,14.1,是,15756.0
2026-06-30 本轮至今最低,2026-06-30,58586,47.5,46.7,未知（进行中）,
