pair,anchor_type,left_anchor,right_anchor,pre_days,post_days,n,amp_median,amp_min,amp_max,time_median,time_min,time_max,shift_median,shift_min,shift_max,rmse_median,window_label,anchor_label
2021->2025,peak,2021-11-08,2025-08-12,0,500,2,0.5349999999999999,0.49,0.58,0.96,0.94,0.98,-17.5,-37.0,2.0,0.12325,-0 / +500,2025-08-12
2021->2025,peak,2021-11-08,2025-08-12,183,183,1,0.6,0.6,0.6,1.01,1.01,1.01,-13.0,-13.0,-13.0,0.0993,-183 / +183,2025-08-12
2021->2025,peak,2021-11-08,2025-08-12,365,0,2,0.58,0.58,0.58,0.995,0.98,1.01,-3.0,-8.0,2.0,0.11755,-365 / +0,2025-08-12
2021->2025,peak,2021-11-08,2025-08-12,720,0,1,0.58,0.58,0.58,1.01,1.01,1.01,-8.0,-8.0,-8.0,0.2575,-720 / +0,2025-08-12
2017->2021,peak,2017-12-16,2021-11-08,0,500,1,0.75,0.75,0.75,0.94,0.94,0.94,22.0,22.0,22.0,0.2175,-0 / +500,2021-11-08
2017->2021,peak,2017-12-16,2021-11-08,183,183,1,0.43,0.43,0.43,1.01,1.01,1.01,-13.0,-13.0,-13.0,0.175,-183 / +183,2021-11-08
2017->2021,peak,2017-12-16,2021-11-08,365,0,2,0.445,0.43,0.46,1.01,1.01,1.01,-13.0,-13.0,-13.0,0.50695,-365 / +0,2021-11-08
