cycle,peak_date,peak_price,bottom_date,bottom_price,days_peak_to_bottom,bottom_to_peak_ratio,drawdown_pct
2017,2017-12-17,19378.99,2018-12-15,3183.0,363,0.16425004605503174,-0.8357499539449682
2021,2021-11-10,64896.86,2022-11-21,15755.75,376,0.242781391888606,-0.757218608111394
