cycle,rel_day,drawdown_pct,price_if_replayed_from_2025_peak
2017,0,0.0,124720.09
2017,1,-1.7543741959720416,122532.03292384688
2017,2,-7.9480922380371855,114807.22220743701
2017,3,-14.872292106038564,106171.3539002858
2017,4,-18.68100453119591,101421.12433578838
2017,5,-26.67022378359244,91456.9628939021
2017,6,-22.204975594703345,97026.02445380794
2017,7,-26.61155199522782,91530.13840115505
2017,8,-26.86935696855204,91208.60380640063
2017,9,-18.51546442822872,101627.58610119515
2017,10,-20.70236890570665,98900.07686867066
2017,11,-25.434658875410953,92997.96055939447
2017,12,-24.841026286715675,93738.33965828455
2017,13,-33.74272859421467,82636.12852883973
2017,14,-28.46309327782306,89220.89444711513
2017,15,-30.44007969455581,86755.19520887827
2017,16,-23.724043409899075,95131.4417075348
2017,17,-22.09016052952193,97169.22190643576
2017,18,-21.848403864184885,97470.74103702513
2017,19,-12.48248747741757,109151.92038392607
2017,20,-11.765319038814715,110046.37350600315
2017,21,-16.537342761413278,104094.70122435688
2017,22,-22.628888296036077,96497.32015118434
2017,23,-25.274795022857234,93197.34290017694
2017,24,-23.240684886054442,95734.2868934965
2017,25,-31.327380838733088,85648.55242328934
2017,26,-28.685653896307294,88943.31664343704
2017,27,-26.78694813300384,91311.38418026429
2017,28,-29.530744378319007,87889.3190336906
2017,29,-29.872506255485977,87463.07331290226
2017,30,-40.296114503387436,74462.73972487214
2017,31,-42.20539873337052,72081.47871488142
2017,32,-41.66089151188994,72760.5886115685
2017,33,-40.662593870991216,74005.66632776527
2017,34,-34.14104656641034,82139.34599543111
2017,35,-40.56362070469102,74129.10574985073
2017,36,-44.44137697578666,69292.7646385596
2017,37,-44.140845317532026,69667.58799321328
2017,38,-41.39637824262255,73090.48979906073
2017,39,-42.62858900283245,71553.67542993727
2017,40,-42.78912368498049,71353.45642988101
2017,41,-41.59138324546326,72847.2793840133
2017,42,-40.471613845716426,74243.85678717
2017,43,-42.60273626231296,71585.91899118065
2017,44,-48.42352465221356,64326.22647258706
2017,45,-47.881752351386744,65001.92537377334
2017,46,-53.484521123133874,58014.14711915841
2017,47,-54.65439633334864,56555.07770409087
2017,48,-52.31949652690879,59467.16684409248
2017,49,-57.851724986699516,52567.36653003588
2017,50,-64.36764764314343,44440.70192858863
2017,51,-60.325796132822205,49481.70276992762
2017,52,-60.90740539109623,48756.31917955992
2017,53,-57.59273316101614,52890.38136812082
2017,54,-55.255614456687375,55805.23791956649
2017,55,-55.893005775842816,55010.282892663636
2017,56,-58.341533795104915,51956.47654336473
2017,57,-54.21701543785306,57100.57955059577
2017,58,-56.034808831626414,54833.42599386758
2017,59,-51.11726668933727,60966.588979518536
2017,60,-48.23656960450467,64559.396976349126
2017,61,-47.533436985106036,65436.34461208246
2017,62,-42.61052820606235,71576.20087192365
2017,63,-46.43663059839548,66804.2825247136
2017,64,-42.515063994563185,71695.2639224232
2017,65,-42.02190103818621,72310.33720546322
2017,66,-46.05358690003969,67282.01497004229
2017,67,-49.27496221423304,63264.312778942556
2017,68,-47.64954210719961,65291.53819931275
2017,69,-50.00451519919253,62354.41363950339
2017,70,-50.47218663098542,61771.13340886702
2017,71,-46.84965521938966,66289.15784568751
2017,72,-45.47409333510157,68004.75986577732
2017,73,-46.81214036438431,66335.94640661356
2017,74,-43.774572359034195,70124.40395669742
2017,75,-43.237495865367606,70794.24624296725
2017,76,-41.00569740734683,73577.74728842937
2017,77,-40.81270489328907,73818.44772565545
2017,78,-41.289303518914046,73224.03349083723
2017,79,-44.785564159948485,68863.4940727045
2017,80,-48.81054172585878,63843.53843002136
2017,81,-51.984597752514446,59884.852896926
2017,82,-52.24209311217973,59563.704452605634
2017,83,-54.6135273303717,56606.049561385815
2017,84,-50.803008825537354,61358.531670081866
2017,85,-52.93872384474114,58694.865975987384
2017,86,-52.80760246019014,58858.40068480864
2017,87,-57.64985688108617,52819.136613038136
2017,88,-57.37657122481616,53159.978729495175
2017,89,-57.29911620781063,53256.58069641399
2017,90,-59.41470633918486,50618.01478053293
2017,91,-57.72741510264468,52722.40592930797
2017,92,-55.6788047261493,55277.43463462234
2017,93,-54.073973927433784,57278.98105112805
2017,94,-54.11623619187584,57226.271516879875
2017,95,-55.02815162193695,56088.929771783776
2017,96,-53.934131758156646,57453.392330508446
2017,97,-55.97634345236775,54906.344067497834
2017,98,-56.3805956863593,54402.16031743656
2017,99,-57.96994580212901,52419.92142263348
2017,100,-59.78319819557161,50158.431405604715
2017,101,-59.01375665088842,51118.07959263098
2017,102,-63.46563985016763,45565.68685979506
2017,103,-64.66270946009054,44072.70056493657
2017,104,-64.2473627366545,44590.72137221805
2017,105,-64.82783674484584,43866.75366677521
2017,106,-63.64614461331577,45340.56115674242
2017,107,-61.68582573188799,47785.47262994614
2017,108,-64.95338508353635,43710.1696657669
2017,109,-64.9834692107277,43672.64871525811
2017,110,-65.84440159162061,42598.893074969346
2017,111,-64.42533898825481,44368.74923104351
2017,112,-63.77515030453084,45179.665142553866
2017,113,-65.05942776171514,43577.91314210389
2017,114,-64.78149790056138,43924.54751507173
2017,115,-64.17259103802624,44683.97670204174
2017,116,-59.15163793365908,50946.113932666245
2017,117,-59.269342726323714,50799.312409320606
2017,118,-58.70213050318929,51506.74000450486
2017,119,-56.88500793901024,53773.05690195929
2017,120,-58.465688872330304,51801.63021930966
2017,121,-59.274967374460694,50792.29734310198
2017,122,-57.93356619720635,52465.29409863466
2017,123,-57.304276435459236,53250.14485584645
2017,124,-54.24802840602116,57061.900148784836
2017,125,-53.99440321709233,57378.22171267956
2017,126,-54.61574622826061,56603.28214994176
2017,127,-53.912458802032525,57480.42286089211
2017,128,-50.203803190981574,62105.8614767849
2017,129,-54.24952487203927,57060.03375502024
2017,130,-52.15380161711214,59673.821684716284
2017,131,-53.9576107939578,57424.109255926116
2017,132,-51.855127640811006,60046.32813676564
2017,133,-51.55057100499045,60426.171447062
2017,134,-52.29978445729112,59491.751755060504
2017,135,-53.18491830585599,58387.812022509934
2017,136,-52.575031000067604,59148.46401918778
2017,137,-49.812967548876394,62593.31204137058
2017,138,-50.02319522328047,62331.115896648895
2017,139,-49.42976904369114,63071.23756191627
2017,140,-50.46181457341172,61784.06944840778
2017,141,-51.7196200627587,60215.33331006929
2017,142,-52.6404110843754,59066.92191919702
2017,143,-52.00947004978072,59853.83214539044
2017,144,-53.50371716998667,57990.205792247165
2017,145,-56.6369041936654,54082.49211644673
2017,146,-56.267070678090036,54543.748809922494
2017,147,-55.17774662146995,55902.354753730724
2017,148,-55.26082628661246,55798.73772059328
2017,149,-56.25437651807448,54559.580977718644
2017,150,-56.943060500057015,53700.65369557444
2017,151,-58.41372537990887,51866.43913382482
2017,152,-57.487412914708145,53021.736874104376
2017,153,-57.50242917716558,53003.008578052824
2017,154,-56.05106354871951,54813.153096079826
2017,155,-56.6879388451101,54018.84165323372
2017,156,-58.78164961125425,51407.563701359046
2017,157,-61.272491497234896,48300.98345940629
2017,158,-60.86405947884798,48810.38024032727
2017,159,-61.509294344029286,48005.642735761765
2017,160,-62.13450752593401,47225.876292598325
2017,161,-62.08966514766765,47281.803747130274
2017,162,-63.32141148738919,45745.56860365786
2017,163,-61.50470174142203,48011.37063386688
2017,164,-61.917468351033776,47496.56774686916
2017,165,-61.375696050206955,48172.26664805545
2017,166,-61.22439817554992,48360.96549349578
2017,167,-60.59433437965549,49146.78162679273
2017,168,-60.23337645563572,49596.96867449232
2017,169,-61.36346631067977,48187.51959020051
2017,170,-60.71771542273359,48992.900678822785
2017,171,-60.49845734994446,49266.359544537656
2017,172,-60.34401173642176,49458.98425272421
2017,173,-60.68510278399442,49033.57519120966
2017,174,-61.31686945501289,48245.63523052541
2017,175,-65.06365914838699,43572.63575283851
2017,176,-64.49247354996312,44285.01894525979
2017,177,-66.22636164217022,42122.51215615983
2017,178,-67.47859408565668,40560.726725634304
2017,179,-65.74388035702583,42724.26324922506
2017,180,-67.0198498476959,41132.87295208882
2017,181,-66.5395874604404,41731.85663371002
2017,182,-66.73118671303304,41492.89387343715
2017,183,-65.37992950096987,43178.18308445383
2017,184,-65.23859086567462,43354.46075759883
2017,185,-65.13698598327365,43481.182458373725
2017,186,-65.32837882676033,43242.47713172358
2017,187,-68.72994929044289,39000.035388005264
2017,188,-68.11861712091292,39762.489420042
2017,189,-68.26465156336837,39580.355131980556
2017,190,-67.76916650454952,40198.32454327599
2017,191,-68.6567772623857,39091.295607253014
2017,192,-68.35660682006647,39465.66845306695
2017,193,-69.8041022777761,37660.35081546561
2017,194,-67.99441044141103,39917.40010250276
2017,195,-67.06128647571417,41081.19315233146
2017,196,-67.23513454519559,40864.36968361096
2017,197,-65.88165843524354,42552.42630607166
2017,198,-66.44500048764151,41849.82559131308
2017,199,-66.00715517165756,42395.90666346903
2017,200,-66.28849078305939,42045.02463572663
2017,201,-65.94249751922057,42476.54774578034
2017,202,-65.1515378252427,43463.03338797326
2017,203,-65.41630910589251,43132.810408452664
2017,204,-65.61219134743348,42888.50590050875
2017,205,-67.47147297150163,40569.6081856175
2017,206,-67.02593891632124,41125.278660219126
2017,207,-67.74986725314373,40222.394586998606
2017,208,-67.922528470266,40007.051361608625
2017,209,-67.75554350355722,40215.315162374274
2017,210,-67.23910792048503,40859.41408637394
2017,211,-65.277808595804,43305.54836928551
2017,212,-62.25288314819297,47078.23810997889
2017,213,-61.92273178323535,47490.003189490264
2017,214,-61.4530478626595,48075.793397947986
2017,215,-62.15251672042764,47203.41520901759
2017,216,-61.773033579149384,47676.706924354665
2017,217,-61.825667901165126,47611.06135056574
2017,218,-60.162578132296886,49685.268407079006
2017,219,-56.728911052639994,53967.741079127445
2017,220,-57.90724903619848,52498.11688552912
2017,221,-59.069125893557924,51049.023023341244
2017,222,-57.767613276027284,52672.27073128682
2017,223,-57.53700270241122,52959.88844625029
2017,224,-57.601815161677685,52879.05428872195
2017,225,-57.84088850863745,52580.88179522772
2017,226,-60.12552769777992,49731.47774235395
2017,227,-60.76168056229969,48938.06731718732
2017,228,-61.123257713637294,48487.107968619624
2017,229,-61.74165939504588,47715.83683500532
2017,230,-63.85260532153636,45083.06317563506
2017,231,-63.72354802804481,45244.02354822929
2017,232,-64.19834057399277,44651.86185760971
2017,233,-65.33245540660272,43237.39281767522
2017,234,-67.58086979765199,40433.168365585625
2017,235,-66.21882770980325,42131.90848338844
2017,236,-68.28518926940981,39554.74048652175
2017,237,-67.82309088347742,40131.07000934517
2017,238,-67.40795056914732,40648.833383003956
2017,239,-67.72963916076122,40247.623082023354
2017,240,-68.03233811462826,39870.09667433133
2017,241,-67.65048126863165,40346.348876329466
2017,242,-67.40851819418866,40648.125440541524
2017,243,-66.01737242240179,42383.16369914531
2017,244,-66.99188141384045,41167.75520796492
2017,245,-66.51254786756174,41765.58043828393
2017,246,-67.7034768065828,40280.25279370081
2017,247,-66.58293337268867,41677.795572942654
2017,248,-67.18100375716176,40931.88165116447
2017,249,-66.3224966832637,42002.6124463865
2017,250,-65.47353603051552,43061.43693655861
2017,251,-65.23286301298468,43361.604540628796
2017,252,-65.3749756824272,43184.361491398675
2017,253,-64.3330225156213,44483.88641879685
2017,254,-63.51197869445209,45507.893011498534
2017,255,-63.71895542543755,45249.751446334405
2017,256,-63.96613032980562,44941.47468314913
2017,257,-63.800951442773844,45147.48593971616
2017,258,-62.89239016068433,46280.644388443354
2017,259,-62.356139303441516,46949.456940222364
2017,260,-62.55233115864141,46704.76628184439
2017,261,-62.02072450628232,47367.78657711263
2017,262,-65.48860389524944,43042.64428210139
2017,263,-66.48432142232387,41800.78448618838
2017,264,-67.00029258490767,41157.26478783982
2017,265,-68.06851131044498,39824.981431952845
2017,266,-67.82592900868416,40127.53029703301
2017,267,-67.49056581380144,40545.79557551761
2017,268,-67.58071499082254,40433.36144080263
2017,269,-67.35639989493777,40713.12743027371
2017,270,-66.5308150734378,41742.79756267482
2017,271,-66.57183888324418,41691.63263016286
2017,272,-66.36212723160494,41953.18519082781
2017,273,-66.46884073937807,41820.09200789101
2017,274,-67.74496503687757,40228.508635537764
2017,275,-67.30634568674631,40775.555083778876
2017,276,-67.04193562203191,41105.32755445974
2017,277,-66.49407425257974,41788.62074751572
2017,278,-65.16846337193012,43441.92383091172
2017,279,-65.388650285696,43167.306513894684
2017,280,-65.44200703958256,43100.759922426296
2017,281,-66.03491719640704,42361.28184121566
2017,282,-66.78418225098419,41426.79779080849
2017,283,-66.68732477801991,41547.59851826126
2017,284,-65.52962770505584,42991.47934958941
2017,285,-65.83924136397201,42605.32891553688
2017,286,-66.04054184454402,42354.266774997035
2017,287,-65.91669638097754,42508.72694861806
2017,288,-66.0827009044331,42301.68595756022
2017,289,-66.4664670346597,41823.05249455208
2017,290,-66.63381321730391,41614.338184946675
2017,291,-66.21366748215465,42138.344323955986
2017,292,-65.97376849877111,42437.54655194102
2017,293,-66.1879695484646,42170.39480998236
2017,294,-66.09730434867865,42283.47252875408
2017,295,-65.90085448209634,42528.484979160414
2017,296,-65.99678311408387,42408.842703009796
2017,297,-66.33178509303117,41991.02793336494
2017,298,-68.24039849341995,39610.60358264801
2017,299,-68.06845970816849,39825.04579035852
2017,300,-68.02722948925614,39876.46815649319
2017,301,-68.09178393714018,39795.95579099322
2017,302,-66.76596664738462,41449.51630801193
2017,303,-66.67984244792945,41556.93048708419
2017,304,-66.7490411006972,41470.62586507347
2017,305,-67.00055059629011,41156.942995811434
2017,306,-67.0623185212439,41079.90598421795
2017,307,-66.90229986186071,41279.48140021744
2017,308,-66.89259863388133,41291.58078048442
2017,309,-66.93506730742934,41238.61381261356
2017,310,-66.99962175531336,41158.1014471136
2017,311,-66.89208261111648,41292.22436454118
2017,312,-66.99735125514798,41160.93321696331
2017,313,-66.94941274029244,41220.72217583579
2017,314,-66.9274817727859,41248.07449824784
2017,315,-66.95586302485322,41212.677375126346
2017,316,-67.66601355385394,40326.976996221165
2017,317,-67.65760238278672,40337.467416346255
2017,318,-67.46899606223027,40572.69738908994
2017,319,-67.26351579726291,40828.972560489485
2017,320,-67.23358647690102,40866.30043578122
2017,321,-67.3256449381521,40751.48504005626
2017,322,-66.85441294928167,41339.206000684244
2017,323,-66.95390213834673,41215.12299454203
2017,324,-66.72427200798391,41501.51789979766
2017,325,-66.44242037381721,41853.043511596836
2017,326,-66.94234322841388,41229.5392774133
2017,327,-67.31052547114169,40770.34205291916
2017,328,-67.2458678187047,40850.98313523046
2017,329,-67.19333670124192,40916.49999220804
2017,330,-67.34675026923487,40725.16245213502
2017,331,-67.70038066999365,40284.11429804131
2017,332,-71.07455032486214,36075.84686773665
2017,333,-71.20840663006689,35908.90116341461
2017,334,-71.5555867462649,35475.89781003034
2017,335,-71.59722978338912,35423.96057665027
2017,336,-71.30913427376761,35783.27355553618
2017,337,-75.57406242533796,30464.051326462322
2017,338,-77.55698310386661,27990.95087157276
2017,339,-76.54619771205827,29251.60332194298
2017,340,-77.98977139675493,27451.176923172985
2017,341,-77.8946167989147,27569.85382323847
2017,342,-80.52019222880037,24295.23378406717
2017,343,-79.68578341802127,25335.909203838793
2017,344,-80.74553937021486,24014.180626482594
2017,345,-80.52014062652388,24295.298142472846
2017,346,-78.1978833778231,27191.619473083978
2017,347,-78.0793529487347,27339.45073092044
2017,348,-79.48293486915469,25588.902096548893
2017,349,-78.62628547721012,26657.315989166604
2017,350,-78.82660551452888,26407.476658334617
2017,351,-80.21842211591007,24671.601740457056
2017,352,-79.86561735157508,25111.62016005994
2017,353,-80.93610657727777,23776.50503432325
2017,354,-82.28359682315744,22095.913986920907
2017,355,-82.55837894544555,21753.205476699255
2017,356,-82.45006576710139,21888.293770211956
2017,357,-81.77830733180626,22726.111495294626
2017,358,-82.40284968411666,21947.18171140498
2017,359,-82.71653992287524,21555.946963304064
2017,360,-82.29918071065623,22076.477748406913
2017,361,-83.15185672731138,21013.01945302619
2017,362,-83.50940890108308,20567.08006010117
2017,363,-83.57499539449682,20485.28052648771
2021,0,0.0,124720.09
2021,1,-0.15897533409165998,124521.81582024308
2021,2,-1.1377283893242218,123301.11412887927
2021,3,-0.6384284231933601,123923.84149600766
2021,4,1.2592134657978926,126290.58216783525
2021,5,-2.242296468581073,121923.49582631886
2021,6,-7.318597540774697,115592.32856040802
2021,7,-7.0613277745641305,115913.19564436862
2021,8,-12.141542749525946,109577.14695540276
2021,9,-10.337957799499087,111826.57972830272
2021,10,-7.897377469418398,114870.47371250165
2021,11,-9.482677590256294,112893.28597502252
2021,12,-13.316961714326393,108111.16336462658
2021,13,-11.243795154341829,110696.81856408923
2021,14,-11.775022705258776,110034.27108448082
2021,15,-9.051932558832586,113430.51156588469
2021,16,-17.038528520486196,103469.62189457394
2021,17,-15.764907577962939,105058.0830803478
2021,18,-11.441216108144525,110450.59497282765
2021,19,-10.891944540922315,111135.6469658116
2021,20,-12.354049178958737,109312.1087453584
2021,21,-11.816272774984792,109982.82396039346
2021,22,-12.83663030846176,108710.23312631922
2021,23,-17.281113446783102,103167.06975617
2021,24,-23.979372807867747,94812.99465259182
2021,25,-23.707002156961053,95152.69557353623
2021,26,-22.047214610999667,97222.78409466807
2021,27,-21.912878373468303,97390.32837101979
2021,28,-22.135662649934062,97112.47162090585
2021,29,-26.59264254079473,91553.72228974252
2021,30,-27.163687118298174,90841.5149787401
2021,31,-23.829196050471467,95000.29523957554
2021,32,-22.853910035092607,96216.67283571347
2021,33,-28.132331826223943,89633.42042723486
2021,34,-25.50770561164284,92906.856604224
2021,35,-24.67128609920418,93950.03977291506
2021,36,-26.644401593543964,91489.16835257053
2021,37,-28.74824760396728,88865.24971490917
2021,38,-27.86533893935701,89966.41419602888
2021,39,-28.064670617345744,89717.80754784284
2021,40,-27.633309223281376,90255.80186674517
2021,41,-24.565733996991533,94081.68444979156
2021,42,-25.039609004195274,93490.66711431954
2021,43,-21.65959955535599,97706.21794092041
2021,44,-21.69775240281272,97658.63367523481
2021,45,-22.34590394666245,96850.25848640905
2021,46,-21.657642603971894,97708.6586524479
2021,47,-21.932648205167393,97365.67141913185
2021,48,-26.661243702699945,91468.1628588733
2021,49,-28.318873979419035,89400.764885882
2021,50,-27.426612011736783,90513.59481501106
2021,51,-28.741344342391915,88873.8594689589
2021,52,-26.423512632198232,91764.661263961
2021,53,-27.179034548050563,90822.37365054025
2021,54,-28.317394709081455,89402.60983317837
2021,55,-29.288720594494087,88191.17131469844
2021,56,-33.08944377278038,83450.90594608891
2021,57,-33.5355670520885,82894.50059062486
2021,58,-35.81174805683972,80055.64559293624
2021,59,-35.794304994109105,80077.40059647262
2021,60,-35.53034769324741,80406.6083796689
2021,61,-35.478434549838,80471.35449885095
2021,62,-34.09351392347797,82198.62875047575
2021,63,-32.3784694667816,84337.63374040746
2021,64,-34.33019717749056,81903.4371830563
2021,65,-33.49650506973681,82943.21873016968
2021,66,-33.61413787970636,82796.50698370613
2021,67,-33.52887951743736,82902.84128986056
2021,68,-34.84204012335882,81265.06620031077
2021,69,-34.64767016462738,81507.4845877736
2021,70,-35.707998815351004,80185.04174029529
2021,71,-37.29092594002237,78210.81360577076
2021,72,-43.73643039123927,70171.97465325904
2021,73,-45.90160448440802,67471.56757560228
2021,74,-44.16826946635014,69633.38457012558
2021,75,-43.53580435170515,70422.19563032941
2021,76,-43.022451317367285,71062.44999677334
2021,77,-43.23469579267779,70797.73849614605
2021,78,-42.77122190503516,71375.78354594043
2021,79,-41.94202924455821,72409.95337836067
2021,80,-41.18880327954233,73349.37747983185
2021,81,-41.57097893488222,72872.72765853385
2021,82,-40.78249702682071,73856.12300390188
2021,83,-40.297404219556995,74461.13118970473
2021,84,-43.13133177783948,70926.65418848
2021,85,-42.61924228691496,71565.33266244161
2021,86,-35.98243428110389,79842.76558041637
2021,87,-36.13327362833888,79654.6386107895
2021,88,-34.5166931034876,81670.83929630648
2021,89,-32.35734363727305,84363.98189398377
2021,90,-31.97268712230453,84843.72584564338
2021,91,-31.579216621574602,85334.4626082772
2021,92,-33.00555681738685,83555.52983235399
2021,93,-34.67859616012239,81468.91365835881
2021,94,-34.94680636320463,81134.40165168546
2021,95,-35.13194629139221,80903.49496662397
2021,96,-34.399661247092695,81816.80153293087
2021,97,-31.47629946965076,85462.82097278205
2021,98,-32.35848390815826,84362.5597471095
2021,99,-37.510351040096545,77937.14642347566
2021,100,-38.37435278070465,76859.56267498765
2021,101,-38.226317883484654,77044.19193203184
2021,102,-40.78850656256713,73848.62790551037
2021,103,-42.87027138138887,71252.24894988755
2021,104,-41.04266369744237,73531.64289815254
2021,105,-42.63975175378285,71539.75323690545
2021,106,-40.87909646167781,73735.64410180862
2021,107,-39.57673761103388,75359.94723245468
2021,108,-39.69167383445055,75216.59867116682
2021,109,-41.907821118001706,72452.61778458927
2021,110,-33.42355855121496,83034.197693722
2021,111,-31.56494782644338,85352.25866240678
2021,112,-32.41159895871696,84296.31460824914
2021,113,-34.61625107901985,81546.67049962048
