rel_day,dd_pct_2025,dd_pct_2021,dd_pct_2017,dd_pct_2021_scaled,dd_pct_2017_scaled
-440,-42.98216089143332,-83.1725604232615,-96.86292732519331,-38.21186260919844,-23.545513237521078
-439,-42.79573876841769,-82.99680842543708,-96.85738198174144,-38.1311170945722,-23.544165271263417
-438,-42.758878452877184,-83.23412987735111,-96.866778258146,-38.2401493844116,-23.546449325200008
-437,-41.871231702270705,-82.9147355585285,-96.85522545928794,-38.093410462742014,-23.543641062163218
-436,-40.38112197630092,-82.96261139755852,-96.85450661847011,-38.11540599797629,-23.543466325796484
-435,-39.946460877459685,-82.6597234363483,-96.8302200679818,-37.97625057098395,-23.537562732834687
-434,-40.21989294541041,-82.71004192022677,-96.82082379157724,-37.99936832740365,-23.53527867889809
-433,-41.43224502892644,-82.2873903419007,-96.83289004816234,-37.805190055623044,-23.538211753625415
-432,-41.45479377570105,-83.11290067332615,-96.82046437116833,-38.184453206912075,-23.535191310714726
-431,-41.16178679344655,-84.85505419488723,-96.70940346481274,-38.98484856171715,-23.508194542054337
-430,-41.276879179100575,-84.4373471218908,-96.73425481880076,-38.79294193766947,-23.514235427875708
-429,-43.124288117731325,-84.94854087499684,-96.72922293307592,-39.02779902708649,-23.513012273308572
-428,-42.34558332653238,-84.78010200780966,-96.71227882808408,-38.95041337467599,-23.50889348752127
-427,-43.60906505241633,-84.64936869473793,-96.7185943581265,-38.890350736564095,-23.51042867131472
-426,-44.234946958487484,-84.99749739932344,-96.704525616406,-39.05029106017855,-23.507008830994355
-425,-44.0806625022874,-84.83734872071287,-96.71689994762731,-38.976714158457966,-23.51001679273599
-424,-43.70288439783862,-84.64978320416677,-96.72347220653323,-38.890541174098594,-23.5116143823747
-423,-43.825842232442525,-84.58933884709828,-96.76182749874202,-38.862771300764784,-23.520937815656858
-422,-44.961575887895975,-84.5263630217323,-96.76095462060609,-38.83383839820245,-23.52072563578297
-421,-45.119020041096334,-84.70944295410212,-96.7490937471118,-38.91795057638497,-23.517842485731858
-420,-45.22235227107024,-84.19275695106406,-96.62339929553599,-38.68057018963587,-23.487288583891527
-419,-45.83412536968032,-84.01509524908536,-96.62576120108032,-38.598947302082834,-23.48786271766794
-418,-45.71998765183653,-83.75530146456543,-96.64198646525432,-38.479590577337554,-23.491806767088505
-417,-46.6287046813699,-83.7870262397792,-96.62309122089978,-38.494165850067006,-23.487213696877212
-416,-49.08471012483506,-83.81377690184698,-96.51767834954148,-38.50645587238251,-23.46158985681259
-415,-47.79768274242775,-83.57377594255372,-96.4674108380657,-38.3961925399094,-23.44937079231027
-414,-48.62431523705584,-83.81203004068261,-96.45565265611683,-38.50565331420142,-23.446512604597267
-413,-47.94711782408733,-84.51567460003172,-96.33329567976668,-38.82892783034867,-23.41676997874534
-412,-49.039426766756414,-84.40335734872664,-96.39224062682919,-38.77732605984081,-23.431098360817522
-411,-48.55907678722685,-84.8277853960334,-96.39891557728052,-38.972320492483526,-23.432720912794338
-410,-47.0509044083518,-84.06935157253774,-96.25139917230614,-38.62387421508024,-23.396862514106726
-409,-46.90660594641458,-84.1663615827924,-96.18834656342743,-38.66844339949279,-23.381535638510353
-408,-47.59099293731685,-84.0904027299591,-96.46166011152302,-38.63354572129642,-23.447972901376396
-407,-49.18536421590767,-84.0464055148703,-96.38767085305867,-38.613332137277794,-23.429987536771858
-406,-51.824919330570026,-84.14553248399365,-96.386233171423,-38.658873913384376,-23.42963806403839
-405,-52.132220984815035,-83.94683442850179,-96.35065055094014,-38.567586320955684,-23.42098861388506
-404,-50.797071586061435,-84.01881103003669,-96.38993006705758,-38.60065443855279,-23.430536708210163
-403,-52.81611796923064,-84.27851599110758,-96.35532301625607,-38.71997035525496,-23.422124400268828
-402,-52.09375547561128,-84.34471906845519,-96.28852216597008,-38.75038595005015,-23.40588639933163
-401,-50.97072819526049,-84.38122550600869,-96.32595323427023,-38.76715805576683,-23.414985171570848
-400,-51.227550732990565,-84.19456302786111,-96.31979174154593,-38.68139995317903,-23.41348743128456
-399,-51.55593111455017,-84.01724181577039,-96.37909610901735,-38.5999334964579,-23.427903181540106
-398,-51.07645131895384,-84.3028832239596,-96.39552675628215,-38.73116536174711,-23.43189715563688
-397,-49.964212629697535,-84.20516262611264,-96.3760667084279,-38.686269712989706,-23.42716679256601
-396,-48.620741569058225,-83.82242238421973,-96.34844268271394,-38.51042785524485,-23.420451923615808
-395,-45.267610283985796,-83.62815069727148,-96.17535608293369,-38.42117386363095,-23.37837790274009
-394,-45.0078983976619,-83.27738689703126,-96.19676727015064,-38.26002290140434,-23.383582550234948
-393,-45.84183029926386,-83.1344403597172,-96.13967077090543,-38.19434915736534,-23.369703490248654
-392,-45.953703849203706,-82.90338096096018,-96.13941404204192,-38.08819383456493,-23.369641084403394
-391,-43.64087323211151,-83.08053933006097,-96.24523767958183,-38.169585476540355,-23.395364773820436
-390,-43.25648004009266,-83.08416628756325,-96.20226126782983,-38.1712518049672,-23.38491803532356
-389,-42.42172019649598,-82.97131609556396,-96.14013288285975,-38.1194051862007,-23.369815820770125
-388,-42.901740688905186,-83.23883752014997,-96.17669107302396,-38.24231221069623,-23.378702413135453
-387,-44.30158784067489,-83.18871148707774,-96.19815360601362,-38.219282871703264,-23.383919541799365
-386,-44.76792194500809,-82.98284834003037,-96.19265960833444,-38.124703430463995,-23.382584056710755
-385,-44.43342493075279,-82.61137387225678,-96.22382649236488,-37.95403739285312,-23.390160126325576
-384,-42.62546996268686,-82.36398576278543,-96.23902484108483,-37.840380191461676,-23.39385455236509
-383,-42.71261508182517,-81.04856969820604,-96.21925671859437,-37.236040278420084,-23.389049302279915
-382,-42.3321081481489,-80.79703649444639,-96.21951344745787,-37.12047870168369,-23.389111708125174
-381,-43.54867597712785,-80.85622251932021,-96.1693486275275,-37.14767046107349,-23.37691760596096
-380,-44.07060047253522,-80.59494834398302,-96.11035233469228,-37.02763360227644,-23.36257674271972
-379,-45.40158481615211,-80.70873118219717,-96.00401523942533,-37.07990870549555,-23.336728241612153
-378,-44.786829436683476,-80.6435347706053,-96.03795479518172,-37.04995560185556,-23.34497829435581
-377,-48.11438745218424,-79.78643289913964,-96.02896928495876,-36.65617838990173,-23.342794089771633
-376,-48.73848674845044,-80.35328934697445,-96.10429353351338,-36.91660851966535,-23.361103964771537
-375,-50.90616561644759,-80.10670064854442,-96.0761047042997,-36.80331859066187,-23.35425180296176
-374,-54.38601426865095,-79.94584138234157,-96.05623389026381,-36.72941522459643,-23.34942159053847
-373,-52.654703073810694,-79.59873414741998,-96.04668357654114,-36.569944193477696,-23.34710009309472
-372,-53.50849713489828,-79.66382693165464,-96.03086907854876,-36.599849687734064,-23.343255893026573
-371,-47.84961498162728,-79.94003825033793,-96.02198625987123,-36.72674909911349,-23.341096650780504
-370,-48.565176523147144,-79.34782270780357,-96.04617011881412,-36.45466827304304,-23.346975281404195
-369,-48.51139408704104,-79.07655589444991,-95.99169225397674,-36.33004050939653,-23.333732761039577
-368,-50.39158276995259,-76.93591077270034,-95.9949783834297,-35.34656667053575,-23.33453155585893
-367,-49.85357254436206,-76.95641418551932,-95.99467030879347,-35.35598652715279,-23.334456668844616
-366,-48.793435062059324,-78.04025271455563,-96.00036968956346,-35.85393307047584,-23.335842078609435
-365,-50.37986485621098,-77.084142305232,-95.96848396471519,-35.41466849313958,-23.32809127262788
-364,-51.37085228517905,-77.30212985307269,-95.93849803345691,-35.51481823226285,-23.320802269901268
-363,-50.24446254652316,-77.36347724853971,-95.94014109818339,-35.54300298736824,-23.321201667310945
-362,-49.759018189209755,-76.75593966104675,-95.93213115764179,-35.26388277386196,-23.319254604938767
-361,-50.59322888760587,-75.90450768641118,-95.88905205434438,-34.87271047532642,-23.308782904103786
-360,-49.73762687155021,-75.84326391830137,-95.71683833270008,-34.84457332960466,-23.26692106310196
-359,-50.14184842950387,-76.21287309364523,-95.5591554647306,-35.01438239831031,-23.22859139294197
-358,-48.32263176063217,-76.37950588403535,-95.26499553291778,-35.09093828717764,-23.157086775440643
-357,-48.98783246306492,-75.2986577444499,-95.38067755881659,-34.594365614639166,-23.185206849315747
-356,-45.84256530899387,-73.87822275529452,-95.39474630053708,-33.94177699196496,-23.188626689636113
-355,-45.78131449815985,-73.64332914432077,-95.33600673656538,-33.83386012197045,-23.174348232240142
-354,-45.64118953974704,-73.62375837771668,-95.20004313044907,-33.82486874980604,-23.141298096589328
-353,-46.87678313782919,-72.43316886684816,-94.99311966645786,-33.27787774000978,-23.09099898530806
-352,-49.72539360615881,-72.40221389485939,-95.00646956736051,-33.26365613698725,-23.09424408926169
-351,-50.131304841652714,-72.80519107922414,-95.06757103687653,-33.448795427219814,-23.109096680434074
-350,-49.826208216597735,-72.81259303331042,-95.05201326774767,-33.45219609747868,-23.105314886211193
-349,-50.05526090395382,-71.71800686694084,-94.87250844637961,-32.94931178093976,-23.061680719203924
-348,-50.18002669352577,-72.27251685535975,-94.75451586070919,-33.204069592711605,-23.032998992721456
-347,-51.567953170249034,-74.60550915599514,-94.63744749894741,-34.275913248918975,-23.00454192728193
-346,-50.06479913366852,-74.66617557168622,-94.06068043417986,-34.30378514236055,-22.864340955316074
