rel_day,dd_pct_2017,dd_pct_2021,dd_pct_2017_scaled,dd_pct_2021_scaled
-300,-94.35121215927647,-49.792367785926004,-54.47369773852576,-49.792367785926004
-299,-94.16530586609723,-44.74424990299739,-54.36636469011468,-44.74424990299739
-298,-94.15237826068751,-42.03276608211461,-54.3589009336514,-42.03276608211461
-297,-93.86221370849557,-45.489567463852175,-54.1913743513341,-45.489567463852175
-296,-93.87425155968681,-46.46366462160544,-54.198324407959824,-46.46366462160544
-295,-94.01106435539924,-47.01349657504183,-54.277313312392984,-47.01349657504183
-294,-93.9089519742076,-45.755179184283925,-54.21835870162439,-45.755179184283925
-293,-93.82029058326006,-46.63174819499648,-54.167170023694105,-46.63174819499648
-292,-93.823849600134,-47.37299468110383,-54.169224823044324,-47.37299468110383
-291,-93.59021061005737,-54.3778635384627,-54.03433328923039,-54.3778635384627
-290,-93.45397353766278,-51.168183795849366,-53.95567677880976,-51.168183795849366
-289,-93.31412510991082,-52.53218628705103,-53.874935251401425,-52.53218628705103
-288,-93.4352363605912,-52.20439815229461,-53.94485886458364,-52.20439815229461
-287,-93.36625423941716,-52.096610896890326,-53.90503201835453,-52.096610896890326
-286,-93.33621194992254,-51.79250901520997,-53.88768709442774,-51.79250901520997
-285,-93.59779969015618,-54.93536391633245,-54.03871484666834,-54.93536391633245
-284,-93.97924255746766,-49.19495607162309,-54.25894098879108,-49.19495607162309
-283,-93.77507013356781,-49.228620158807445,-54.14106198489141,-49.228620158807445
-282,-94.15735041661432,-49.26570394877966,-54.361771609214195,-49.26570394877966
-281,-93.8417493614705,-50.97747985077068,-54.17955925507039,-50.97747985077068
-280,-93.60538877025499,-50.357758646851735,-54.04309640410629,-50.357758646851735
-279,-93.55106142444416,-47.4301081588335,-54.01173049637804,-47.4301081588335
-278,-93.50919063769209,-44.52219128040926,-53.98755638637556,-44.52219128040926
-277,-93.4507285516895,-45.326872513035944,-53.95380328528457,-45.326872513035944
-276,-93.8232215383327,-43.540277659140905,-54.16886221139428,-43.540277659140905
-275,-94.24438931457522,-41.89437914851768,-54.41202354038189,-41.89437914851768
-274,-94.88794330695474,-42.43229395587517,-54.78357961112027,-42.43229395587517
-273,-94.57124314365866,-31.628164909023326,-54.60073268658888,-31.628164909023326
-272,-94.4764058116652,-31.206594015993836,-54.545978327433225,-31.206594015993836
-271,-94.13468785328476,-33.532362009441044,-54.34868737217535,-33.532362009441044
-270,-94.5041975463719,-29.123269626688362,-54.56202389294738,-29.123269626688362
-269,-94.56491018716243,-29.69446361961773,-54.597076352451005,-29.69446361961773
-268,-95.09829167190051,-30.2521120365692,-54.9050242962453,-30.2521120365692
-267,-94.90212703596701,-27.910089351948553,-54.79176859088361,-27.910089351948553
-266,-94.91243771720471,-29.023461677789086,-54.797721465471724,-29.023461677789086
-265,-94.53282669681363,-27.153994545944148,-54.57855294066159,-27.153994545944148
-264,-94.52497592429762,-22.810986809273693,-54.57402029503612,-22.810986809273693
-263,-94.54523091738893,-23.499353735388716,-54.585714520749825,-23.499353735388716
-262,-94.62672193610517,-17.26489506323712,-54.63276338234218,-17.26489506323712
-261,-94.39083239124064,-16.99660383542613,-54.496572490115625,-16.99660383542613
-260,-94.34425114097894,-14.829060012527062,-54.469678792737845,-14.829060012527062
-259,-94.22732696897374,-19.755519378093734,-54.40217259055587,-19.755519378093734
-258,-94.00452204496924,-27.704981204217994,-54.27353610770509,-27.704981204217994
-257,-94.06408323912406,-26.411134433845994,-54.30792377918364,-26.411134433845994
