cycle,peak_date,peak_price,bottom_date,days_peak_to_bottom,bottom_drawdown_pct,bottom_price
2017,2017-12-17,19378.99,2018-12-15,363,-83.57499539449682,3183.0
2021,2021-11-10,64896.86,2022-11-21,376,-75.7218608111394,15755.75
