u,obs_2017,fit_2017,obs_2021,fit_2021,obs_2025,fit_2025
0.0,0.8201925705195302,1.03473746053983,0.7359189282784258,0.8991898855405454,1.204504522500054,0.7813986456396353
0.005025125628140704,0.768165013125156,1.057501486000069,0.8015006741195801,0.9189718903762022,1.2605157228792454,0.7985892658136231
0.010050251256281407,0.7748564425288471,1.0572689292607576,0.8327868673503682,0.9187697978882255,1.2018908120366463,0.7984136468493329
0.01507537688442211,0.7832507515169975,1.072206276151234,0.8963726910017004,0.9317503961104254,1.152150787786169,0.8096938247444854
0.020100502512562814,0.799428121505231,1.0249144893357256,0.7783110577263699,0.8906536947776452,1.1355179388115415,0.7739806708510935
0.02512562814070352,0.7642324723826567,0.9345578714846002,0.7426243020591724,0.8121335290720403,0.9438167447583368,0.7057464167470499
0.03015075376884422,0.753651058226206,0.9880524563246383,0.7623533449609758,0.8586204800656361,1.1017348978434771,0.7461437133919908
0.035175879396984924,0.7290913220047124,1.004290942653123,0.8436407374919682,0.8727317722724962,1.0806943705534486,0.7584064676733482
0.04020100502512563,0.7290916398550445,1.0281325439015856,0.9545175067322766,0.89345019362599,1.024813942426301,0.7764108365455349
0.04522613065326633,0.621484002669978,0.934369882844181,0.8802720545218913,0.8119701663926092,0.9785282062838181,0.7056044540998847
0.05025125628140704,0.5417537780170931,0.901828193467127,0.8644731596912125,0.7836913429594811,1.0277362750533356,0.6810300736644941
0.05527638190954774,0.5667803743900148,0.9457206379736663,0.8768458342821026,0.8218340058638853,1.116899961094358,0.7141761595067226
0.06030150753768844,0.5607854909584634,0.927199083748298,0.8115873642291381,0.8057387209640293,1.1493456564575024,0.7001893097609974
0.06532663316582915,0.5542842348636964,0.950896295001859,0.798987165473736,0.8263316669888142,1.2740628701479448,0.7180846402048265
0.07035175879396985,0.5154366774552144,0.8985709454868597,0.7937908554721915,0.7808607849191589,1.163695697330638,0.6785703104324126
0.07537688442211056,0.5180232550726138,0.8956192529132133,0.768139284283617,0.7782957554226301,1.1847992017757762,0.6763412922830275
0.08040201005025126,0.5183086213702617,0.9051293456986613,0.8110188960145163,0.7865600539228174,1.157647275813953,0.6835229918984831
0.08542713567839195,0.5275654033262087,0.8753274663072279,0.7354496259960115,0.760662133396295,1.1343475889644887,0.6610176230662455
0.09045226130653267,0.5073343519046669,0.8539281440400992,0.7272605092021484,0.7420660596347575,1.1074992223613283,0.6448575804710767
0.09547738693467336,0.4889714754352719,0.8638707871020365,0.7269898446394899,0.7507062455928164,1.1901404552970156,0.652365927388973
0.10050251256281408,0.4943652349661409,0.8535175485879198,0.7097053653149747,0.7417092509835503,1.1629875792010023,0.6445475127075384
0.10552763819095477,0.48400020078942085,0.8473500664811595,0.7275964790778202,0.7363496909587708,1.1337471178911602,0.6398900393396418
0.11055276381909548,0.5373426834055836,0.8559622710333055,0.7234032233112732,0.7438337219529283,1.0587558201643548,0.6463936842057584
0.11557788944723618,0.5422795011658883,0.8416264761150146,0.7165107462197837,0.7313758741574252,1.0068760122813432,0.6355677779633423
0.12060301507537688,0.5524469705060143,0.840838194168015,0.6995897613146275,0.7306908548353969,1.0094085391604752,0.6349724941650285
0.12562814070351758,0.5207685675171283,0.8053979190051505,0.6902970987964697,0.6998931518600006,0.9537057939977828,0.6082092000257492
0.1306532663316583,0.5148023488178924,0.798370440215721,0.7053437315636488,0.6937862521977335,0.9196778747205586,0.6029022863227732
0.135678391959799,0.5102837661778111,0.7903925650697318,0.7430180329134307,0.686853455316449,0.8546359469363427,0.5968776655161525
0.1407035175879397,0.49598457718600236,0.7951776428176988,0.8106541543098694,0.6910117019022566,0.8206395075602508,0.6004911939850948
0.1457286432160804,0.4890675493818529,0.8364364470793723,0.9804908608840995,0.7268657237159049,0.8008481403490805,0.6316484440125201
0.15075376884422112,0.48791873453038337,0.8791753285310709,1.0657112939690003,0.7640059369450987,0.8576362673407161,0.6639233981492798
0.15577889447236182,0.48452908606916595,0.828259395176415,0.9932274000729274,0.7197598416491211,0.7748083478644416,0.625473411672469
0.16080402010050251,0.4919437808772551,0.831199701246572,1.0804807528941012,0.7223149762407491,0.709001818020305,0.6276938311204979
0.1658291457286432,0.48428338935202797,0.8112820667897691,1.0563540551351014,0.7050064935285186,0.6849679865657267,0.6126527089205037
0.1708542713567839,0.48141637458197317,0.8077910820548158,1.020670589387378,0.701972817563401,0.7039704462093624,0.6100164356165315
0.17587939698492464,0.4837230385701497,0.8312058660222155,1.0636139019461193,0.7223203334488494,0.7325018807027037,0.6276984865500365
0.18090452261306533,0.5126927577737481,0.9197315159313375,1.1307552912542707,0.7992493826471428,0.8806860497922332,0.6945500557464083
0.18592964824120603,0.5087560515975108,0.8877092597480889,1.059084661637288,0.7714219481816473,0.8519923724760664,0.6703679336467002
0.19095477386934673,0.5031799766345154,0.8991524139788833,1.0174405453701187,0.7813660827427396,0.9318183867518665,0.6790094157218958
0.19597989949748745,0.4829197721577756,0.8666175525801153,0.9674602826666363,0.7530931928427516,0.914193300344233,0.6544401915441923
0.20100502512562815,0.5166099940218575,0.8789920968678134,0.982664990664489,0.7638467080927616,0.8779107089407282,0.6637850278099736
0.20603015075376885,0.5111530779607357,0.8992805668788323,1.002206817808325,0.7814774479883513,0.9316247456138054,0.6791061924466918
0.21105527638190955,0.5562857489604166,0.8524326477478625,0.8280144358952309,0.7407664689742037,0.8824865686509533,0.6437282323785632
0.21608040201005024,0.5747477708545574,0.8214462515413392,0.7586618625260226,0.7138391998641036,0.8342104600627546,0.6203283566106573
0.22110552763819097,0.6211667149599116,0.7878991903117564,0.7460186452287215,0.6846867053448533,0.6926563619783646,0.5949947534411053
0.22613065326633167,0.5601265309518909,0.7431918165867414,0.7802997189817343,0.6458358665614177,0.6163379157102078,0.5612332606846663
0.23115577889447236,0.5550938866018078,0.7920152451147199,0.7995617778889933,0.6882635690308597,0.7345914636018095,0.5981030584663591
0.23618090452261306,0.5722949923856073,0.795763888766141,0.8552000373155944,0.6915211513494656,0.6756608385882076,0.6009339070476774
0.24120603015075376,0.5432101417829712,0.7924772102348078,0.8653491781302088,0.6886650180740197,0.6948080047400841,0.5984519188613244
0.24623115577889448,0.5448233227649601,0.7501827536062474,0.7787666131110732,0.6519110113185344,0.6529830906663726,0.5665125792820079
0.25125628140703515,0.5933563059140363,0.7784242398030775,0.8008658148101633,0.676452945586164,0.6513845574810161,0.5878395920815063
0.2562814070351759,0.5651375930443375,0.7770255332985433,0.798320666510616,0.6752374655347694,0.682398437126266,0.586783336354841
0.2613065326633166,0.5814764161281739,0.811960833066157,0.7896731502644476,0.7055963434118461,0.7650494154769195,0.6131652901976894
0.2663316582914573,0.5634364688088133,0.7866136005014878,0.7489966379892535,0.6835695240322677,0.756873420886713,0.5940239196065327
0.271356783919598,0.5522970590989384,0.7434718599147434,0.7553843066678939,0.6460792250341274,0.6464227617161046,0.5614447399106208
0.2763819095477387,0.5716401254224012,0.7628101483663706,0.793130803437651,0.6628842543700681,0.6424592504353724,0.5760483596512327
