param,value
u_min,0.7
u_max,1.0
thr,
weight,ahr
p_hat,2.0
k_hat,0.5426110323093516
f0 (2017→2021),0.6865272865750444
f1 (2021→2025),0.3235738451938809
rmse_log2_full,1.1944335394104262
rmse_log2_weighted,0.9442479436931253
