param,value
dtw_dist_2021,1e+18
dtw_dist_2025,1e+18
slope_tail_2025,0.5882352941418685
j_end_2025,459
remain_tpl,40
days_to_peak,67.9999999972
pred_peak_date,2025-10-29
ahr_peak_2025,1.338607974515339
