u,a_2021,b_2021,a_2025,b_2025
0.0,-0.17732600121458067,0.3280982241907616,1.843392672451195,0.3080982241907616
0.002004008016032064,-0.1767929023521325,0.32855830185032037,1.8421485070540542,0.30855830185032035
0.004008016032064128,-0.17619637352132353,0.32907430656361114,1.8412186513091624,0.3090743065636111
0.0060120240480961915,-0.175602676336323,0.3295968564569973,1.8399076322873853,0.3095968564569973
0.008016032064128256,-0.17511251723887122,0.33002962985542006,1.8375457360772298,0.31002962985542004
0.01002004008016032,-0.17315924143889402,0.33196697882341764,1.8299243178281308,0.3119669788234176
0.012024048096192383,-0.1700909617249963,0.3349637343572432,1.821974223032422,0.3149637343572432
0.014028056112224447,-0.16598836013062507,0.33897434796406667,1.8087809617551878,0.31897434796406665
0.01603206412825651,-0.1617822061286073,0.34306601115574437,1.7940996182070363,0.32306601115574435
0.018036072144288574,-0.157033645602774,0.3477381356458449,1.7805545191683156,0.32773813564584486
0.02004008016032064,-0.152095208657246,0.3525955264729832,1.7670690900210404,0.3325955264729832
0.022044088176352703,-0.14714432731941954,0.3573453335054753,1.7546738888068842,0.3373453335054753
0.024048096192384766,-0.1431796570171141,0.36114211656528766,1.7439224104956983,0.34114211656528765
0.026052104208416832,-0.1394671993222217,0.36468065227065805,1.7343899706688597,0.34468065227065803
0.028056112224448895,-0.1360590260668594,0.3678833749395583,1.7269647903880696,0.3478833749395583
0.03006012024048096,-0.13284550084239077,0.3708492814437055,1.7220612641083677,0.3508492814437055
0.03206412825651302,-0.1314518922679432,0.3719102773033823,1.7238595011594682,0.35191027730338226
0.03406813627254509,-0.13168411517107634,0.3712961954851202,1.733175359383168,0.3512961954851202
0.03607214428857715,-0.13095731140886746,0.3718939895364365,1.7487822665564594,0.35189398953643647
0.038076152304609215,-0.12960281498948997,0.3732287623124643,1.767640395527584,0.3532287623124643
0.04008016032064128,-0.1284900711569035,0.3742432333665871,1.7841855114169376,0.3542432333665871
0.04208416833667334,-0.12757690521642664,0.3749937406633414,1.7984982764595392,0.3549937406633414
0.044088176352705406,-0.12663586791310047,0.3756934864875976,1.8278533814759852,0.3556934864875976
0.04609218436873747,-0.12610317610655639,0.37582727532731536,1.8588813827822124,0.35582727532731534
0.04809619238476953,-0.12726089349572806,0.37405855870083465,1.8902033989539235,0.35405855870083464
0.0501002004008016,-0.12955889436482984,0.3709954887758454,1.922943862439068,0.35099548877584535
0.052104208416833664,-0.13485615315049274,0.3646879307063379,1.9568356554308795,0.3446879307063379
0.05410821643286573,-0.14413977432621156,0.3540641771142061,1.9888886104472723,0.3340641771142061
0.05611222444889779,-0.26294593588258963,0.22184797164476,2.0142360015309633,0.20184797164476
0.058116232464929855,-0.3894485914511691,0.08108341805853468,2.034860512996096,0.06108341805853468
0.06012024048096192,-0.5221968647078638,-0.06663210520148803,2.052187563289161,-0.08663210520148804
0.06212424849699398,-0.6602491267014272,-0.2200443534329457,2.078554659826565,-0.2400443534329457
0.06412825651302605,-0.8028770283485005,-0.37846763615442003,2.1059704579322007,-0.39846763615442005
0.06613226452905811,-0.9502584941771517,-0.542052225393914,2.1188316657399824,-0.562052225393914
0.06813627254509018,-1.1000171992080074,-0.708361872487244,2.125624182322032,-0.728361872487244
0.07014028056112225,-1.2499721759363622,-0.8751028502935433,2.124702459942814,-0.8951028502935433
0.0721442885771543,-1.4015124806633252,-1.0436876827042312,2.117105452282719,-1.0636876827042312
0.07414829659318636,-1.5530101740743376,-1.2124057937117954,2.1022818228428077,-1.2324057937117954
0.07615230460921843,-1.6870619942562526,-1.364053579554546,2.089221581482901,-1.384053579554546
0.0781563126252505,-1.6969392462632635,-1.381225865571876,2.077866938332456,-1.4012258655718761
0.08016032064128256,-1.6918470802406687,-1.3842310714103727,2.0673870192498884,-1.4042310714103727
0.08216432865731463,-1.6700846957717983,-1.3710998045849598,2.0569488278301566,-1.3910998045849599
0.08416833667334668,-1.629595378150862,-1.3424191621798875,2.04075443819551,-1.3624191621798876
0.08617234468937875,-1.58637927012399,-1.3110095994848376,2.0259175748659533,-1.3310095994848377
0.08817635270541081,-1.5430676143679285,-1.279173608745341,2.011101311434727,-1.299173608745341
0.09018036072144288,-1.4989852461964384,-1.2462811580424324,1.9999734197967471,-1.2662811580424325
0.09218436873747494,-1.4521132711087965,-1.210217189099177,1.9939406456087907,-1.230217189099177
0.09418837675350701,-1.3930204767107026,-1.1610458367941638,1.9915511192181377,-1.1810458367941639
0.09619238476953906,-1.3275368056613865,-1.1048998632788647,1.9934940758090562,-1.1248998632788647
0.09819639278557113,-1.2705443290268368,-1.0566340073347893,1.9921515640314182,-1.0766340073347893
0.1002004008016032,-1.2233579425140348,-1.016386580133103,1.9888038179477208,-1.036386580133103
0.10220440881763526,-1.1787855693451559,-0.9774172277460285,1.981907831720214,-0.9974172277460285
0.10420841683366733,-1.1381413228190072,-0.9412320332709542,1.9703215170308952,-0.9612320332709542
0.1062124248496994,-1.1001034320196486,-0.9041540672139798,1.9454860628507795,-0.9241540672139799
0.10821643286573146,-1.0475335946618727,-0.8521680820359862,1.9063350591908643,-0.8721680820359862
0.11022044088176351,-0.978576607355424,-0.7837784255419561,1.8493825416269531,-0.8037784255419561
0.11222444889779558,-0.892011447184874,-0.697775535563338,1.767700494982315,-0.7177755355633381
0.11422845691382764,-0.8007783526106216,-0.6072833402111562,1.6782293835603959,-0.6272833402111562
0.11623246492985971,-0.7148005348763827,-0.5227412440214171,1.5848231132225445,-0.5427412440214171
0.11823647294589178,-0.6336305644652048,-0.44335767753521294,1.4825107548160197,-0.46335767753521295
0.12024048096192384,-0.5570799532101145,-0.3686974652060384,1.3731937344970557,-0.38869746520603843
0.1222444889779559,-0.4865440015524376,-0.30016864521831754,1.2653435905154042,-0.32016864521831756
0.12424849699398796,-0.4253556961021853,-0.24111271926567648,1.1496921162413773,-0.2611127192656765
0.12625250501002003,-0.3739380814126747,-0.19199711213087742,1.000815005330557,-0.2119971121308774
0.1282565130260521,-0.3355863888561732,-0.15596076894377614,0.8587142452283211,-0.17596076894377613
0.13026052104208416,-0.31179329025561925,-0.1345174319034959,0.7252492050683762,-0.1545174319034959
