date,value,ma30
2009-06-24,97.0,81.16666666666667
2009-06-25,69.0,79.3
2009-06-26,90.0,78.33333333333333
2009-06-27,84.0,77.96666666666667
2009-06-28,47.0,75.96666666666667
2009-06-29,84.0,75.13333333333334
2009-06-30,86.0,74.76666666666667
2009-07-01,75.0,74.86666666666666
2009-07-02,84.0,74.0
2009-07-03,82.0,74.33333333333333
2009-07-04,89.0,75.13333333333334
2009-07-05,79.0,76.73333333333333
2009-07-06,84.0,78.63333333333334
2009-07-07,69.0,80.4
2009-07-08,74.0,80.13333333333334
2009-07-09,86.0,79.96666666666667
2009-07-10,81.0,79.93333333333334
2009-07-11,83.0,79.73333333333333
2009-07-12,77.0,79.43333333333334
2009-07-13,78.0,79.43333333333334
2009-07-14,69.0,79.33333333333333
2009-07-15,45.0,78.03333333333333
2009-07-16,71.0,78.03333333333333
2009-07-17,48.0,77.0
2009-07-18,4.0,74.46666666666667
2009-07-19,69.0,73.86666666666666
2009-07-20,71.0,73.63333333333334
2009-07-21,82.0,73.66666666666667
2009-07-22,61.0,73.13333333333334
2009-07-23,75.0,73.1
2009-07-24,73.0,72.3
2009-07-25,33.0,71.1
2009-07-26,20.0,68.76666666666667
2009-07-27,74.0,68.43333333333334
2009-07-28,41.0,68.23333333333333
2009-07-29,21.0,66.13333333333334
2009-07-30,15.0,63.766666666666666
2009-07-31,17.0,61.833333333333336
2009-08-01,28.0,59.96666666666667
2009-08-02,23.0,58.0
2009-08-03,12.0,55.43333333333333
2009-08-04,81.0,55.5
2009-08-05,87.0,55.6
2009-08-06,90.0,56.3
2009-08-07,81.0,56.53333333333333
2009-08-08,80.0,56.333333333333336
2009-08-09,101.0,57.0
2009-08-10,75.0,56.733333333333334
2009-08-11,70.0,56.5
2009-08-12,63.0,56.0
2009-08-13,85.0,56.53333333333333
2009-08-14,63.0,57.13333333333333
2009-08-15,26.0,55.63333333333333
2009-08-16,20.0,54.7
2009-08-17,17.0,55.13333333333333
2009-08-18,9.0,53.13333333333333
2009-08-19,18.0,51.36666666666667
2009-08-20,23.0,49.4
2009-08-21,13.0,47.8
2009-08-22,7.0,45.53333333333333
