date,price,gma200,avg_index,estimate_price,estimate_index,ahr999
2014-12-01,370.0,,,288.97509263630826,1.28038716632809,
2014-12-02,378.0,,,289.75799725611245,1.3045369017576824,
2014-12-03,378.0,,,290.5426589433927,1.3010137698011734,
2014-12-04,377.1,,,291.32908082532816,1.2944124868402596,
2014-12-05,377.1,,,292.1172660332093,1.2909199278796806,
2014-12-06,378.0,,,292.9072177024504,1.2905110463477587,
2014-12-07,378.0,,,293.6989389725775,1.2870322287248497,
2014-12-08,375.0,,,294.4924329872528,1.2733773706716327,
2014-12-09,375.0,,,295.2877028942558,1.2699479061418606,
2014-12-10,360.5,,,296.08475184550724,1.2175567899156918,
2014-12-11,360.5,,,296.88358299705766,1.2142806832251578,
2014-12-12,350.0,,,297.68419950909947,1.1757426177713586,
2014-12-13,350.0,,,298.48660454596484,1.1725819338941303,
2014-12-14,350.0,,,299.2908012761357,1.1694311970419642,
2014-12-15,350.0,,,300.09679287223395,1.1662903713503274,
2014-12-16,350.0,,,300.90458251105133,1.1631594211003602,
2014-12-17,350.0,,,301.71417337352005,1.1600383107183447,
2014-12-18,340.0,,,302.52556864474485,1.1238719474956556,
2014-12-19,340.0,,,303.3387715139812,1.120859026042205,
2014-12-20,340.0,,,304.15378517466,1.117855560484823,
2014-12-21,340.0,,,304.970612824383,1.1148615168235525,
2014-12-22,340.0,,,305.78925766492017,1.1118768611962409,
2014-12-23,340.0,,,306.6097229022302,1.108901559877855,
2014-12-24,340.0,,,307.4320117464429,1.105935579279941,
2014-12-25,340.0,,,308.25612741187206,1.1029788859499743,
2014-12-26,340.0,,,309.0820731170304,1.100031446570707,
2014-12-27,340.0,,,309.9098520846098,1.0970932279596428,
2014-12-28,340.0,,,310.7394675415041,1.0941641970683615,
2014-12-29,340.0,,,311.57092271880924,1.0912443209819287,
2014-12-30,340.0,,,312.40422085181575,1.0883335669183352,
2014-12-31,340.0,,,313.23936518002404,1.0854319022278576,
2015-01-01,340.0,,,314.0763589471473,1.082539294392467,
2015-01-02,340.0,,,314.9152054011037,1.0796557110252776,
2015-01-03,340.0,,,315.75590779403467,1.0767811198699078,
2015-01-04,340.0,,,316.59846938230226,1.073915488799915,
2015-01-05,340.0,,,317.442893426484,1.0710587858182434,
2015-01-06,340.0,,,318.28918319139655,1.0682109790565772,
2015-01-07,340.0,,,319.13734194607474,1.0653720367748456,
2015-01-08,288.99,,,319.98737296380045,0.9031293870233214,
2015-01-09,288.99,,,320.8392795220817,0.9007313581755825,
2015-01-10,288.99,,,321.6930649026737,0.8983407835895754,
2015-01-11,288.99,,,322.5487323915814,0.8959576367181616,
2015-01-12,288.99,,,323.40628527904653,0.8935818911207897,
2015-01-13,260.0,,,324.2657268595766,0.8018115343796204,
2015-01-14,120.0,,,325.1270604319186,0.3690864729640919,
2015-01-15,204.22,,,325.9902892990958,0.6264603784336297,
2015-01-16,199.46,,,326.855416768379,0.6102392365776341,
2015-01-17,184.0,,,327.722446151318,0.5614507097723859,
2015-01-18,184.0,,,328.59138076372625,0.559965996589257,
2015-01-19,225.51,,,329.46222392569086,0.6844790802203261,
2015-01-20,218.0,,,330.3349789615759,0.6599361674785201,
2015-01-21,225.51,,,331.2096492000246,0.6808678447161111,
2015-01-22,226.32,,,332.08623797397036,0.6815097228381366,
2015-01-23,235.0,,,332.96474862062865,0.7057804196195943,
2015-01-24,240.0,,,333.84518448150783,0.7188960966225767,
2015-01-25,254.53,,,334.7275489024089,0.76040947580986,
2015-01-26,274.48,,,335.6118452334395,0.8178495601342128,
2015-01-27,263.65,,,336.49807682899706,0.7835111644159045,
2015-01-28,236.09,,,337.3862470477936,0.6997617776831191,
2015-01-29,235.03,,,338.2763592528503,0.6947869502885448,
2015-01-30,229.07,,,339.16841681149725,0.6753871783035515,
2015-01-31,218.45,,,340.062423095379,0.6423820603628712,
2015-02-01,228.99,,,340.9583814804655,0.6716068952630205,
2015-02-02,237.83,,,341.85629534704935,0.6957016829500161,
2015-02-03,228.58,,,342.7561680797456,0.6668880717175559,
2015-02-04,227.11,,,343.6580030675056,0.6608605007676432,
2015-02-05,216.76,,,344.5618037036145,0.6290888823720369,
2015-02-06,223.2,,,345.4675733856877,0.6460808978758031,
2015-02-07,229.0,,,346.37531551569356,0.6611325626915943,
2015-02-08,223.99,,,347.2850334999366,0.6449745263786062,
2015-02-09,221.1,,,348.196730749074,0.6349858584954219,
2015-02-10,220.87,,,349.1104106781127,0.6326651776753999,
2015-02-11,219.81,,,350.0260767064207,0.6279817837239665,
2015-02-12,223.21,,,350.9437322577213,0.6360278856215106,
