口径,最新日期,最新,基准日期,基准,变化
long holder 供应,2026-06-25,14800000.0,2025-10-06,14120000.0,0.04815864022662889
long holder 占流通供应比例,2026-06-25,0.7419,2025-10-06,0.7114,0.03049999999999997
