date,value,ma30
2009-06-20,78.0,82.06666666666666
2009-06-21,81.0,82.03333333333333
2009-06-22,77.0,82.53333333333333
2009-06-23,76.0,84.03333333333333
2009-06-24,98.0,83.96666666666667
2009-06-25,69.0,82.63333333333334
2009-06-26,90.0,81.46666666666667
2009-06-27,84.0,80.3
2009-06-28,48.0,78.73333333333333
2009-06-29,85.0,78.0
2009-06-30,86.0,77.23333333333333
2009-07-01,75.0,76.5
2009-07-02,85.0,76.9
2009-07-03,82.0,75.96666666666667
2009-07-05,79.0,76.2
2009-07-06,84.0,76.83333333333333
2009-07-07,69.0,78.1
2009-07-08,74.0,80.03333333333333
2009-07-09,86.0,80.16666666666667
2009-07-10,81.0,79.83333333333333
2009-07-11,83.0,79.86666666666666
2009-07-12,77.0,79.46666666666667
2009-07-13,78.0,79.2
2009-07-14,69.0,78.9
2009-07-15,45.0,78.0
2009-07-16,71.0,77.56666666666666
2009-07-17,48.0,76.8
2009-07-18,4.0,74.3
2009-07-19,69.0,73.93333333333334
2009-07-20,72.0,73.43333333333334
2009-07-21,82.0,73.56666666666666
2009-07-22,61.0,72.9
2009-07-23,75.0,72.83333333333333
2009-07-24,73.0,72.73333333333333
2009-07-25,33.0,70.56666666666666
2009-07-26,20.0,68.93333333333334
2009-07-27,74.0,68.4
2009-07-28,41.0,66.96666666666667
2009-07-29,21.0,66.06666666666666
2009-07-30,16.0,63.766666666666666
2009-07-31,17.0,61.46666666666667
2009-08-01,28.0,59.9
2009-08-02,23.0,57.833333333333336
2009-08-03,12.0,55.5
2009-08-04,81.0,55.56666666666667
2009-08-05,87.0,55.666666666666664
2009-08-06,90.0,56.36666666666667
2009-08-07,82.0,56.63333333333333
2009-08-08,80.0,56.43333333333333
2009-08-09,101.0,57.1
2009-08-10,75.0,56.833333333333336
2009-08-11,70.0,56.6
2009-08-12,63.0,56.1
2009-08-13,85.0,56.63333333333333
2009-08-14,63.0,57.233333333333334
2009-08-15,26.0,55.733333333333334
2009-08-16,20.0,54.8
2009-08-17,17.0,55.233333333333334
2009-08-18,9.0,53.233333333333334
2009-08-19,18.0,51.43333333333333
2009-08-20,23.0,49.46666666666667
2009-08-21,13.0,47.86666666666667
2009-08-22,7.0,45.6
2009-08-23,15.0,43.666666666666664
2009-08-24,15.0,43.06666666666667
2009-08-25,51.0,44.1
2009-08-26,51.0,43.333333333333336
2009-08-27,29.0,42.93333333333333
2009-08-28,75.0,44.733333333333334
2009-08-29,78.0,46.8
2009-08-30,97.0,49.46666666666667
2009-08-31,87.0,51.43333333333333
2009-09-01,79.0,53.3
2009-09-02,65.0,55.06666666666667
2009-09-03,62.0,54.43333333333333
2009-09-04,64.0,53.666666666666664
2009-09-05,76.0,53.2
2009-09-06,68.0,52.733333333333334
2009-09-07,79.0,52.7
2009-09-08,69.0,51.63333333333333
2009-09-09,54.0,50.93333333333333
2009-09-10,67.0,50.833333333333336
2009-09-11,67.0,50.96666666666667
2009-09-12,69.0,50.43333333333333
2009-09-13,75.0,50.833333333333336
2009-09-14,74.0,52.43333333333333
2009-09-15,45.0,53.266666666666666
2009-09-16,72.0,55.1
2009-09-17,86.0,57.666666666666664
2009-09-18,78.0,59.666666666666664
2009-09-19,74.0,61.36666666666667
2009-09-20,78.0,63.53333333333333
2009-09-21,70.0,65.63333333333334
2009-09-22,27.0,66.03333333333333
2009-09-23,35.0,66.7
2009-09-24,97.0,68.23333333333333
2009-09-25,93.0,69.63333333333334
2009-09-26,100.0,72.0
2009-09-27,88.0,72.43333333333334
2009-09-28,85.0,72.66666666666667
2009-09-29,90.0,72.43333333333334
2009-09-30,85.0,72.36666666666666
2009-10-01,82.0,72.46666666666667
2009-10-02,73.0,72.73333333333333
2009-10-03,58.0,72.6
2009-10-04,53.0,72.23333333333333
2009-10-05,55.0,71.53333333333333
2009-10-06,45.0,70.76666666666667
2009-10-07,59.0,70.1
2009-10-08,70.0,70.13333333333334
