u,ret_pct_2017,ret_pct_2021,ret_pct_2025
0.0,,-0.7289402534061407,1.6030501915358153
0.002,,-0.1811376769336824,2.0200494855334834
0.004,,2.037385357578325,3.509606861296686
0.006,,4.793709024722123,4.2126141261477965
0.008,,5.695538002085222,4.177589219954592
0.01,,6.240718160773309,3.7314957661650605
0.012,,8.561423598225812,2.82401323100658
0.014,,11.509035324886465,3.7323878567599755
0.016,,12.653625262860272,4.872625849272861
0.018000000000000002,,10.521012917704851,5.824206510038741
0.02,,9.104313559172287,3.9589581671830927
0.022,,8.83207690540565,0.9647293004039899
0.024,,9.13722454894061,-1.6288824680446814
0.026000000000000002,,8.54868614041598,-1.5621783222421244
0.028,,8.061114350845566,-0.15893550537999812
0.03,,10.002792062061525,1.427634761462734
0.032,,13.238063934686954,1.6761698066338115
0.034,,18.51892063828661,0.7601910564322523
0.036000000000000004,,22.100945413419584,-0.7696096504416872
0.038,,26.428217498100338,-1.6433581305755673
0.04,,26.43552633904116,-2.352722249096799
0.042,,28.69998056159325,-3.1804182410082804
0.044,,28.34395377193448,-4.09795913030973
0.046,,28.859389634027814,-4.452566667102476
0.048,,28.596073441834978,-4.392115435738537
0.05,,29.050168760713213,-4.041645421226264
0.052000000000000005,,29.833246744066873,-3.4182492885501237
0.054,,30.340355899556457,-2.499967532609028
0.056,,28.742264397674468,-0.7561738160297333
0.058,,26.93146724628462,0.3262279864552251
0.06,,25.31933768046794,3.3128331176104053
0.062,,25.556500379932494,9.709851565189735
0.064,,24.134980296524056,16.808245409895367
0.066,,23.365869691989612,22.25160833431389
0.068,,23.297488911272513,22.9818762229747
0.07,,23.104560957076462,22.503497326343027
0.07200000000000001,,21.958670412977785,22.71552812896309
0.074,,21.317146441888003,23.474166851883318
0.076,,22.865376663309114,25.101257294267867
0.078,,25.801424305076953,25.833547530952966
0.08,,27.473183834314085,25.05688548380769
0.082,,26.06482531940836,23.57856803552672
0.084,,23.310311191220897,22.830175062428903
0.08600000000000001,,20.95238297195568,23.35272072378312
0.088,,19.72789057944124,23.70534862133434
0.09,,19.682341091024764,23.77487677644567
0.092,,20.505200657371574,23.767204884490177
0.094,,21.239322129742526,24.644973001948053
0.096,,21.26548975949389,25.140648737693997
0.098,,20.91992436692643,23.81050025930333
0.1,,20.56866175405114,21.898078540579874
0.10200000000000001,,22.993740833024095,20.686373501379315
0.10400000000000001,,25.066454611320236,20.442795943537256
0.106,,28.478538231811843,18.76228030035606
0.108,,28.845874639947695,17.138274042211965
0.11,,28.75626005053986,15.131350207660557
0.112,,27.782883599286077,14.52590549156501
0.114,,27.618385198536817,14.53726755309181
0.116,,27.58773613246391,15.774715964804491
0.11800000000000001,,27.201979183233487,16.474450560225932
0.12,,26.13575076428281,15.949019659114192
0.122,,24.767767587340302,15.202869550816917
0.124,,24.079506617893948,14.972862490793643
0.126,,24.931544999911647,15.204422538034787
0.128,,25.754037003657952,14.932877482448
0.13,,28.2167912491827,14.072224691777691
0.132,,33.707808938132864,12.647873494842258
0.134,,40.81070172648397,11.254035762068497
0.136,,48.075845128912015,10.460660417238659
0.138,,55.37340472530001,10.689627867044942
0.14,,63.14053968085677,11.121794117518872
0.14200000000000002,,67.11408931064344,11.020121284226942
0.14400000000000002,,68.89921362809028,10.98735471387294
0.146,,71.33434413048472,11.187324425501496
0.148,,77.69895916167441,11.796004985596682
0.15,,89.66230186078562,11.554507083992487
0.152,,96.9334252239834,9.193954528220488
0.154,,102.24261252186821,4.952654699491433
0.156,,105.31544999911644,0.9747578019794232
0.158,,109.00649949636856,-1.1411322621273463
0.16,,108.45238473908357,-2.073833897699393
0.162,,107.01805651274982,-1.7720534208427559
0.164,,106.12421495343618,-1.4166886747638963
0.166,,108.82452773507221,0.23933326360471865
0.168,,106.21979536659069,1.0832812547666075
0.17,,107.11382070720467,1.8221179198207984
0.17200000000000001,,114.58233932389689,2.7087731684251373
0.17400000000000002,,124.78635777271204,4.458456338985764
0.176,,130.0729682447119,8.147898771468782
0.178,,129.83050416158622,10.966240450446913
0.18,,128.10786548622528,12.434197968282195
0.182,,123.95756065666473,11.792422895393996
0.184,,120.70037639823992,12.418281102235236
0.186,,114.60692360706142,13.799464832803823
0.188,,112.08233402251318,14.989595617555912
0.19,,108.26570534909614,14.427675073324005
0.192,,110.78455530226722,14.003309494859694
0.194,,108.90069801551537,12.068240136668102
0.196,,106.45010160985352,9.323243601309155
0.198,,104.83165279471277,7.022699718034879
0.2,,107.23744897418226,5.848270512200327
0.202,,113.79993991765187,6.4802646201315355
0.20400000000000001,,121.74814186502682,7.0844391857439835
0.20600000000000002,,135.3323649472514,7.452749268938946
0.20800000000000002,,138.90373040696957,7.2312680586243365
