u,z_2017,z_2021,z_2025
0.0,,-1.675508439113894,-0.2761113936901948
0.002,,-1.5835731400251554,-0.1279324889278892
0.004,,-1.117055836044543,0.395534933596929
0.006,,-0.5218082636458341,0.6701391686577118
0.008,,-0.3667542357750844,0.6960606390727344
0.01,,-0.3617020696226392,0.5948938345133787
0.012,,-0.07463024588936235,0.3327233362446177
0.014,,0.28926795370971264,0.6658915489126713
0.016,,0.3434275766326563,1.0480200958815367
0.018000000000000002,,-0.03370378114904393,1.3794057883605817
0.02,,-0.2915849152516577,0.8791607994874094
0.022,,-0.39445451729427006,0.07738042229049824
0.024,,-0.4078956164318067,-0.6099651030405069
0.026000000000000002,,-0.5527730427530462,-0.5473021903232099
0.028,,-0.7190632320397549,-0.13406685084968312
0.03,,-0.6406119490571803,0.32181089089758846
0.032,,-0.407707363479184,0.40196660810182766
0.034,,0.056448240405754024,0.1644722666991114
0.036000000000000004,,0.35058006772823597,-0.2153978386699408
0.038,,0.731752817460906,-0.4568923205525156
0.04,,0.6838730975971599,-0.5914706776768495
0.042,,0.8855126962027391,-0.7088042066240045
0.044,,0.8165724897063197,-0.8399726212103137
0.046,,0.838526271512347,-0.8986997347153249
0.048,,0.7900035919378127,-0.8904113220817899
0.05,,0.8407679591575767,-0.8662722507775245
0.052000000000000005,,0.9370832572060553,-0.8344162963431131
0.054,,1.0223549930150895,-0.7939773063465899
0.056,,0.6679399199927214,-0.6885659193332168
0.058,,0.2619114668555729,-0.6475975971748704
0.06,,-0.0951950245859349,-0.45568941412062425
0.062,,-0.05017178664690529,-0.016635037609972453
0.064,,-0.39974554075055296,0.4654355481951903
0.066,,-0.5311930515067051,0.8182710416441198
0.068,,-0.47396271528670636,0.8017127393171078
0.07,,-0.45189427221717265,0.7031478580726136
0.07200000000000001,,-0.692558893202802,0.6612310117340312
0.074,,-0.7903633692288025,0.6717719197232337
0.076,,-0.27519352888952975,0.7554770750039911
0.078,,0.6307361142758425,0.7752435602543354
0.08,,1.1710262086652434,0.67797133982601
0.082,,0.8082202013625098,0.5232417036076775
