rel_day_scaled,2025,2017,2021
-300.0,-41.24178583785816,-31.538473387486007,-28.74763694479323
-299.0,-42.66250044272019,-31.538473387486007,-28.74763694479323
-298.0,-42.633612950859415,-31.538473387486007,-28.74763694479323
-297.0,-43.29681629700667,-31.538473387486007,-28.74763694479323
-296.0,-41.97229116548472,-31.538473387486007,-28.74763694479323
-295.0,-43.32797698672385,-31.538473387486007,-28.74763694479323
-294.0,-42.94651395317791,-31.538473387486007,-28.74763694479323
-293.0,-42.15418956324631,-31.538473387486007,-28.74763694479323
-292.0,-40.467332018340876,-31.538473387486007,-28.74763694479323
-291.0,-38.0835818242251,-31.538473387486007,-28.74763694479323
-290.0,-38.425361804554704,-31.538473387486007,-28.74763694479323
-289.0,-40.23462296587104,-31.538473387486007,-28.74763694479323
-288.0,-40.85659373816575,-31.538473387486007,-28.74763694479323
-287.0,-40.9488412991181,-31.538473387486007,-28.74763694479323
-286.0,-41.477347029960576,-31.538473387486007,-28.74763694479323
-285.0,-42.26973101683972,-31.538473387486007,-28.74763694479323
-284.0,-40.93028962073184,-31.538473387486007,-28.74763694479323
-283.0,-35.59566467964766,-31.538473387486007,-28.74763694479323
-282.0,-35.362853460982045,-31.538473387486007,-28.74763694479323
-281.0,-34.81223726259982,-31.538473387486007,-28.74763694479323
-280.0,-34.685099945783804,-31.538473387486007,-28.74763694479323
-279.0,-31.52402676481887,-31.538473387486007,-28.74763694479323
-278.0,-24.421935150347775,-31.538473387486007,-28.74763694479323
-277.0,-25.047958515075642,-31.538473387486007,-28.74763694479323
-276.0,-22.954922231091746,-31.538473387486007,-28.74763694479323
-275.0,-25.639696607264973,-31.538473387486007,-28.74763694479323
-274.0,-22.474281362978775,-31.48676954371022,-28.74763694479323
-273.0,-22.833667984383542,-31.42499113379946,-28.74763694479323
-272.0,-23.471823584861962,-31.40495435147754,-28.74763694479323
-271.0,-22.932377557219873,-31.327239009117772,-28.74763694479323
-270.0,-21.30147303221095,-31.34592588763951,-28.74763694479323
-269.0,-19.63509129571256,-31.360060320701294,-28.74763694479323
-268.0,-16.19043881062201,-31.32597468160543,-28.74763694479323
-267.0,-15.692429689224053,-31.313229851219262,-28.74763694479323
-266.0,-16.752625330677915,-31.258819524182485,-28.74763694479323
-265.0,-16.5402814065697,-31.201214467429214,-28.74763694479323
-264.0,-20.821189745783265,-31.151533206788372,-27.586661455222487
