rel_day,dd_pct_2025,dd_pct_2021,dd_pct_2017,dd_pct_2021_scaled,dd_pct_2017_scaled
-300,-41.24178583785816,-49.792367785926004,-94.16893761474608,-28.74763694479323,-31.389645871582026
-299,-42.66250044272019,-44.74424990299739,-94.1560180559987,-25.83310472618343,-31.385339351999566
-298,-42.633612950859415,-42.03276608211461,-93.8660341139118,-24.26762881229344,-31.288678037970598
-297,-43.29681629700667,-45.489567463852175,-93.87806447225955,-26.263414020574693,-31.29268815741985
-296,-41.97229116548472,-46.46366462160544,-94.01479211017715,-26.82580927682039,-31.338264036725718
-295,-43.32797698672385,-47.01349657504183,-93.91274328784463,-27.143254903145948,-31.304247762614878
-294,-42.94651395317791,-45.755179184283925,-93.82413708331808,-26.416765018865885,-31.274712361106026
-293,-42.15418956324631,-46.63174819499648,-93.82769388491654,-26.922852373164062,-31.275897961638847
-292,-40.467332018340876,-47.37299468110383,-93.59420032115825,-27.350811231454006,-31.198066773719418
-291,-38.0835818242251,-54.3778635384627,-93.45804804820513,-31.395074151888174,-31.15268268273504
-290,-38.425361804554704,-51.168183795849366,-93.31828666774766,-29.541964688477876,-31.106095555915886
-289,-40.23462296587104,-52.53218628705103,-93.4393225339073,-30.32947189394848,-31.146440844635766
-288,-40.85659373816575,-52.20439815229461,-93.37038334998404,-30.14022332610969,-31.123461116661346
-287,-40.9488412991181,-52.096610896890326,-93.3403597600205,-30.07799232518682,-31.113453253340168
-286,-41.477347029960576,-51.79250901520997,-93.60178467750794,-29.902419021937597,-31.200594892502643
-285,-42.26973101683972,-54.93536391633245,-93.98299011941438,-31.716947145124593,-31.327663373138126
-284,-40.93028962073184,-49.19495607162309,-93.77894478065518,-28.402721130723403,-31.25964826021839
-283,-35.59566467964766,-49.228620158807445,-94.16098711705538,-28.422157100521314,-31.386995705685127
-282,-35.362853460982045,-49.26570394877966,-93.84558250472061,-28.443567436644344,-31.28186083490687
-281,-34.81223726259982,-50.97747985077068,-93.60936903385762,-29.431861714451173,-31.20312301128587
