scaled_day,dd_pct_2025,dd_pct_2021,dd_pct_2017
-351.0,-37.96456970164149,-16.43148136935558,-54.87694369422565
-350.0,-39.10183916640856,-16.43148136935558,-54.87694369422565
-349.0,-39.07871498489137,-16.43148136935558,-54.87694369422565
-348.0,-39.609603392685166,-16.43148136935558,-54.87694369422565
-347.0,-38.54933274984007,-16.43148136935558,-54.87694369422565
-346.0,-39.634547248963656,-16.43148136935558,-54.87694369422565
-345.0,-39.329189467390535,-16.43148136935558,-54.87694369422565
-344.0,-38.69494080705041,-16.43148136935558,-54.87694369422565
-343.0,-37.34462627472446,-16.43148136935558,-54.87694369422565
-342.0,-35.43645534572657,-16.43148136935558,-54.87694369422565
-341.0,-35.71004719448165,-16.43148136935558,-54.87694369422565
-340.0,-37.15834473820537,-16.43148136935558,-54.87694369422565
-339.0,-37.656226835628495,-16.43148136935558,-54.87694369422565
-338.0,-37.73007019157859,-16.43148136935558,-54.87694369422565
-337.0,-38.153134350688816,-16.43148136935558,-54.87694369422565
-336.0,-38.78743071785789,-16.43148136935558,-54.87694369422565
-335.0,-37.715219737253236,-16.43148136935558,-54.87694369422565
-334.0,-33.444899694989,-16.43148136935558,-54.87694369422565
-333.0,-33.25853637533456,-16.43148136935558,-54.87694369422565
-332.0,-32.817772982684666,-16.43148136935558,-54.87694369422565
-331.0,-32.71600068601618,-16.43148136935558,-54.87694369422565
-330.0,-30.185589587050487,-16.43148136935558,-54.87694369422565
-329.0,-24.500428118677597,-16.43148136935558,-54.87694369422565
-328.0,-25.001554280469172,-16.43148136935558,-54.87694369422565
-327.0,-23.326097263079255,-16.43148136935558,-54.87694369422565
-326.0,-25.475235385093136,-16.43148136935558,-54.87694369422565
-325.0,-22.941348502875513,-16.43148136935558,-54.87694369422565
-324.0,-23.22903431195407,-16.43148136935558,-54.87694369422565
-323.0,-23.739872221067188,-16.43148136935558,-54.87694369422565
-322.0,-23.308050451214395,-16.43148136935558,-54.87694369422565
-321.0,-22.002525816009268,-16.43148136935558,-54.87694369422565
-320.0,-20.66860198705758,-16.43148136935558,-54.87694369422565
-319.0,-17.911188165435092,-16.43148136935558,-54.87694369422565
-318.0,-17.51253627222366,-16.43148136935558,-54.87694369422565
-317.0,-18.361213498162154,-16.43148136935558,-54.87694369422565
-316.0,-18.19123406662071,-16.43148136935558,-54.87694369422565
-315.0,-21.618063296779212,-16.43148136935558,-54.87694369422565
-314.0,-22.347616570834745,-16.43148136935558,-54.87694369422565
-313.0,-19.606757018857184,-16.43148136935558,-54.87694369422565
-312.0,-19.801441772532396,-16.43148136935558,-54.87694369422565
-311.0,-18.557636143463334,-16.43148136935558,-54.87694369422565
-310.0,-19.256295838144435,-16.43148136935558,-54.87694369422565
-309.0,-18.71260155440876,-16.43148136935558,-54.87694369422565
-308.0,-19.666935775944356,-16.43148136935558,-54.87694369422565
-307.0,-19.62493332068634,-16.43148136935558,-54.87694369422565
-306.0,-17.701857415272865,-16.43148136935558,-54.87694369422565
-305.0,-18.861821700096595,-16.43148136935558,-54.87694369422565
-304.0,-16.921435031036296,-16.43148136935558,-54.87694369422565
-303.0,-16.895557483962683,-16.43148136935558,-54.87694369422565
-302.0,-16.04660083231178,-16.43148136935558,-54.87694369422565
-301.0,-18.670599099150742,-16.43148136935558,-54.87694369422565
-300.0,-19.12316652433461,-16.43148136935558,-54.87694369422565
-299.0,-16.0281178437251,-16.43148136935558,-54.87694369422565
-298.0,-16.82662111613293,-16.43148136935558,-54.87694369422565
-297.0,-15.873656762114269,-16.43148136935558,-54.87694369422565
-296.0,-15.893257453550577,-16.43148136935558,-54.87694369422565
-295.0,-13.816122566941702,-16.43148136935558,-54.87694369422565
-294.0,-12.690207327464247,-16.43148136935558,-54.87694369422565
-293.0,-12.664868186031617,-16.43148136935558,-54.87694369422565
-292.0,-16.7446607840004,-16.43148136935558,-54.87694369422565
-291.0,-18.63829476069172,-16.43148136935558,-54.87694369422565
-290.0,-18.37059811294235,-16.43148136935558,-54.87694369422565
-289.0,-18.73516006923984,-16.43148136935558,-54.87694369422565
-288.0,-20.19521393866858,-16.43148136935558,-54.87694369422565
-287.0,-20.41547636792116,-16.43148136935558,-54.87694369422565
-286.0,-17.80529263569325,-16.43148136935558,-54.87694369422565
-285.0,-17.29291447753124,-16.43148136935558,-54.87694369422565
-284.0,-19.798742929066194,-16.43148136935558,-54.87694369422565
-283.0,-20.819396458100695,-16.43148136935558,-54.87694369422565
-282.0,-20.16586060834304,-16.43148136935558,-54.87694369422565
-281.0,-21.23413236792885,-16.43148136935558,-54.87694369422565
-280.0,-21.876566157064186,-16.43148136935558,-54.87694369422565
-279.0,-21.376659927041416,-16.43148136935558,-54.87694369422565
-278.0,-20.675117376839612,-16.43148136935558,-54.87694369422565
-277.0,-18.957944145165385,-16.43148136935558,-54.87694369422565
-276.0,-18.11740434119315,-16.43148136935558,-54.87694369422565
-275.0,-18.067421214978268,-16.43148136935558,-54.87694369422565
-274.9,-18.058187898998458,-16.43148136935558,-54.87645229046674
-274.0,-17.975088055180198,-16.43148136935558,-54.78697900605578
-273.99,-17.948276272090585,-16.43148136935558,-54.785984858451215
-273.07,-15.481592227843938,-16.43148136935558,-54.68004648232668
-273.0,-15.293909746216498,-16.43148136935558,-54.679484572811056
-272.16,-18.349492066594795,-16.43148136935558,-54.67274165862356
-272.0,-18.93150774666696,-16.43148136935558,-54.64462057157091
-271.24,-19.91840256048563,-16.43148136935558,-54.50768754499413
-271.0,-20.23005355432312,-16.43148136935558,-54.509395875864925
-270.32,-21.38363820936948,-16.43148136935558,-54.514726193617705
-270.0,-21.926501576450104,-16.43148136935558,-54.54191104449275
-269.41,-21.06048182774727,-16.43148136935558,-54.59203311329362
-269.0,-20.45867149390287,-16.43148136935558,-54.56650495802025
-268.49,-20.50599775866101,-16.43148136935558,-54.53417215261805
-268.0,-20.551468091467854,-16.43148136935558,-54.50719594599345
-267.57,-20.567703406884963,-16.43148136935558,-54.48376027583375
-267.0,-20.589224638949506,-16.43148136935558,-54.48501994112152
-266.66,-20.589959187810077,-16.43148136935558,-54.48577132041598
-266.0,-20.591385076774714,-16.43148136935558,-54.390345972077526
-265.74,-20.23193960972928,-16.43148136935558,-54.352713598265304
-265.0,-19.208902511215307,-16.43148136935558,-54.29011317332683
-264.83,-18.74832994828655,-16.43148136935558,-54.27573199462475
-264.35,-17.447889770605578,-16.429580470194303,-54.23406094227631
-264.0,-16.4996521410464,-15.767894753043617,-54.20366777981176
-263.91,-16.53206586444893,-15.597746997204927,-54.19585239517802
-263.47,-16.69053295663913,-14.765913524215552,-54.22873836252322
-263.0,-16.859804623296856,-14.288505076186098,-54.26408373852107
-262.99,-16.831690171166514,-14.278350513022051,-54.26455301817482
-262.59,-15.707112085951756,-13.872167986459754,-54.24741949031842
-262.08,-14.273275027303088,-14.529320561102045,-54.22557424230151
-262.0,-14.0483594102602,-14.632886904241852,-54.22398626933077
-261.71,-13.983532644981244,-15.00831489812375,-54.21857646840707
-261.16,-13.860585331521174,-15.21128436586229,-54.20831650113797
-261.0,-13.82481884033278,-15.269652590906631,-54.234250302077186
-260.83,-14.198334618745097,-15.331668830016238,-54.261863491148645
-260.24,-15.494654084999436,-15.453741471094565,-54.35794652003278
-260.0,-16.02197047805209,-15.503160640844676,-54.4147913535764
-259.95,-15.99013298499062,-15.513456301209285,-54.426634027231316
-259.33,-15.595348071028486,-15.22456652078181,-54.57348318055232
-259.06,-15.4234256084966,-15.100517437341292,-54.540345128898984
-259.0,-15.385220616822844,-15.120214052128478,-54.532738388515696
-258.41,-13.771257906404728,-15.313897430869131,-54.45817415846941
-258.18,-13.142086002343351,-15.389258442656384,-54.51277005398635
-258.0,-12.649690599164902,-15.439226145098925,-54.55549727656482
-257.49,-13.515907922292216,-15.580801302019445,-54.674695848308666
-257.3,-13.83861633679063,-15.637404522877569,-54.637461624361244
-257.0,-14.348155938630253,-16.42440589887876,-54.57867074444425
-256.58,-14.273947966201751,-17.52620782528043,-54.49636351256047
-256.42,-14.245678262419473,-17.94412361806217,-54.47277993316869
-256.0,-14.171470289990971,-17.439270294530136,-54.41113823181095
-255.66,-13.957382896372183,-17.03057950881374,-54.36141831409543
-255.54,-13.881822639800845,-16.886335702090303,-54.357370225647415
-255.0,-13.541801485229836,-17.160989537523406,-54.33915382763135
-254.75,-13.561686713824525,-17.28869497823234,-54.33072031003132
-254.66,-13.568845396118615,-17.334668936887553,-54.328343612217296
-254.0,-13.621342399608594,-17.254830540268205,-54.311184085077336
-253.83,-13.872822269451516,-17.233961793059017,-54.306764206874625
-253.78,-13.9467869370524,-17.227823926232784,-54.30496049175017
-253.0,-15.1006357516259,-17.196087982434708,-54.276645322023
-252.91,-15.131340003042013,-17.192454992865056,-54.27405989963755
-252.9,-15.134751586532687,-17.19205132735732,-54.27637286089995
-252.01,-15.438382517203122,-17.096971895261913,-54.48222641325404
-252.0,-15.441794100693798,-17.108741952071064,-54.48453937451644
-251.13,-15.899783338834988,-18.121242099915133,-54.711947108953886
-251.08,-15.926104559417805,-18.013752367544996,-54.72502312362199
-251.0,-15.968218512350335,-17.841768795752692,-54.75697084058653
-250.25,-14.712208454147198,-16.23436431366874,-55.05667758165585
-250.16,-14.561487247162816,-16.235498968013115,-55.09055661041882
-250.0,-14.293538434746152,-16.237516131292,-55.05909227747221
-249.37,-13.866156330547865,-16.245460139889698,-54.935201466494924
-249.25,-13.784750215462473,-16.247126694643526,-54.91160321678496
-249.0,-13.615154142367913,-16.250598683714006,-54.89648826020452
-248.49,-14.425491298154112,-16.25768154141778,-54.86645518781709
-248.33,-14.679714719577232,-16.360217324486314,-54.85691064199303
-248.0,-15.20405052626245,-16.571768321296634,-54.786889046557576
-247.61,-15.679135506557104,-16.82178313570881,-54.70413625195204
-247.41,-15.922768829785163,-16.776435250037114,-54.66366358863316
-247.0,-16.422217142402634,-16.681279630632638,-54.757735496321224
-246.73,-16.964561391031722,-16.618616173951636,-54.819685289188975
-246.5,-17.426558343567578,-16.368511556157692,-54.8724573349652
-246.0,-18.43089954473252,-15.820305965294455,-54.89167134921649
-245.85,-18.04409802783174,-15.655844288035478,-54.897326193387606
