date,lth_supply_btc,circulating_supply_btc,lth_ratio,lth_net_change_30d_btc,phase,source
2025-10-06,14120000,19850000,0.7114,,distribution,"CoinDesk: 峰顶$126k时LTH约14.12M"
2026-05-21,16300000,19900000,0.8191,200000,accumulation,"CoinDesk 2026-05-21 / CoinSpectator: LTH 16.3M逼近纪录,自峰顶+2.18M,过去一月+200k"
