date,mvrv,realized_cap,realized_price
2010-07-18,146.0383322,2026.5854008431354,0.0005877908813861405
2010-07-19,62.56512971,4463.911467850132,0.0012914542073919086
2010-07-20,45.10663005,5741.958658909622,0.0016568679311825313
2010-07-21,38.35756046,7176.328942610221,0.0020645959154780695
2010-07-22,25.1323482,8107.064741982727,0.002326474227905624
2010-07-23,23.1909876,9130.08654119934,0.0026127765971838772
2010-07-24,17.07191365,11193.82296079034,0.003194720938621899
2010-07-25,14.29480012,12429.029315735674,0.0035355946167536195
2010-07-26,12.57111018,15714.02980098612,0.004454658275853247
2010-07-27,12.41061061,16701.729115254297,0.0047235400583323095
2010-07-28,11.86773641,17591.32024996741,0.004963970949254307
2010-07-29,13.54121185,18339.62297842641,0.005162019527816486
2010-07-30,12.03290217,19139.449854978546,0.005373382142951387
2010-07-31,12.05286591,20018.224124767086,0.0056041276367259935
2010-08-01,10.44892297,20957.41356585003,0.00584749262440012
2010-08-02,9.9762043,21628.065495811872,0.00601431147515694
2010-08-03,9.60461264,22540.298237766558,0.006248263520704808
2010-08-04,8.82883787,23375.026386853908,0.006457903190091145
2010-08-05,9.19506028,24084.725195515523,0.0066339967485237634
2010-08-06,9.02581206,24856.599257304442,0.006832771900244497
2010-08-07,8.42875731,25520.343533977215,0.007000313675108958
2010-08-08,8.47702357,26261.9294569214,0.007184125359226765
2010-08-09,9.28085443,27801.267862359953,0.007585508482110736
2010-08-10,8.88387323,28680.29364015418,0.007805011059749138
2010-08-11,8.33793184,29621.104458440863,0.008035565807647572
2010-08-12,8.49787609,30454.315555923808,0.008237352399427607
2010-08-13,7.56762836,31602.54621700266,0.008523145816848756
2010-08-14,7.65189676,32587.217820224585,0.008755532878428916
2010-08-15,7.26649664,33446.159064913794,0.00896139301089525
2010-08-16,7.13837504,34313.66363177242,0.00917575773659547
2010-08-17,7.50985867,34917.23500037585,0.009321080871952015
2010-08-18,7.14796434,35700.17810133619,0.009513197991136034
2010-08-19,6.93168437,36175.23557264914,0.00962248083433724
2010-08-20,6.69412905,36879.48770572327,0.009784693350063217
2010-08-21,6.61775626,37904.47851882656,0.010033612208014442
2010-08-22,6.41568722,38929.903612387054,0.01027621619237585
2010-08-23,6.22495622,39613.62639109452,0.01042738257201751
2010-08-24,6.13247009,40380.75137191578,0.010599317900627542
2010-08-25,6.02386076,41098.49976014386,0.010757220756211503
2010-08-26,5.87469011,41785.17688123469,0.01090697769051166
2010-08-27,5.87209239,42501.71547454144,0.011069308124424793
2010-08-28,5.77497614,43045.59083425062,0.011186193403043223
2010-08-29,5.66272908,43582.66067710235,0.0113019710277222
2010-08-30,5.69050244,44112.333339057484,0.011417269509157788
2010-08-31,5.19159819,44759.04942866929,0.011557134778953301
2010-09-01,5.31891315,45253.558692492115,0.011661184500861215
2010-09-02,5.38522542,45779.1235784518,0.011772951929652
2010-09-03,5.12179597,46295.12701967314,0.0118805982035243
2010-09-04,5.18235949,46861.43472232877,0.011998063040985411
2010-09-05,5.06897347,47602.95184579058,0.012162225816502448
2010-09-06,5.03207272,48009.84672574446,0.012241476510299717
2010-09-07,4.94816313,48636.95956250291,0.012376131596860712
2010-09-08,4.88836125,49142.67536999234,0.012478619496462132
2010-09-09,4.79545778,50275.1685615846,0.012744345499653881
2010-09-10,4.74669508,50819.42487498094,0.012853474517857968
2010-09-11,4.91061134,51327.61369769046,0.012955793196867661
2010-09-12,4.69699949,51988.91345845132,0.013093465334823785
2010-09-13,4.70641545,52571.54826822609,0.013211753331295904
2010-09-14,4.64512859,53237.860310773445,0.013345163389760972
2010-09-15,4.45428881,54209.349752514136,0.013559964918395132
2010-09-16,4.47633904,55433.36368909179,0.013828264447100504
2010-09-17,4.19274776,57515.53107489717,0.014310549892985287
2010-09-18,4.22048014,58260.65799233923,0.014453331842949982
2010-09-19,4.29534109,58993.16833997926,0.014597210951645286
2010-09-20,4.22043399,59616.685958376795,0.014714537882631782
2010-09-21,4.22602175,60190.98162473962,0.014824817217280057
2010-09-22,4.14162414,60794.51907291206,0.014941450059085997
2010-09-23,4.11497371,61633.56890563834,0.015104230779095548
2010-09-24,4.07954667,62389.110994040915,0.01524679211477191
2010-09-25,4.03278411,63089.081651831846,0.015378953672776698
2010-09-26,4.00070639,63733.26986387521,0.015497263222058142
