事件,日期,价格,距前高跌幅,顶→底天数,AHR999,MVRV,恐慌
2015底,2015-01-14,164.92,-0.8667366975071714,406,0.1988782734371232,0.56357972,
2018底,2018-12-15,3232.51,-0.8329062742789146,364,0.27891480753775977,0.69048064,11.0
2022底,2022-11-21,15760.19,-0.7666855566184855,378,0.26683400166135046,0.777592696604,21.0
本轮至今最低,2026-02-05,62811.67,-0.4963906416619228,122,0.27043140587217007,1.1497951473288677,12.0
当前,2026-06-03,66347.08,-0.46804454671552154,240,0.35179689863445024,1.4145646606056597,11.0
