window,start_date,start_adj,end_date,end_adj,multiple,return_pct,cagr_pct,double?
2020-2015,2015-06-03,101.75886535644531,2020-06-03,228.58883666992188,2.246377609156815,124.63776091568151,17.57000923884222,True
2021-2016,2016-06-03,102.5407485961914,2021-06-03,320.241943359375,3.123070074517376,212.3070074517376,25.578804930293785,True
2022-2017,2017-06-02,135.02821350097656,2022-06-03,298.5692138671875,2.2111616981811593,121.11616981811592,17.199052487135113,True
2023-2018,2018-06-01,163.99435424804688,2023-06-02,348.4689025878906,2.124883531422185,112.4883531422185,16.269826959433907,True
2024-2019,2019-06-03,162.90380859375,2024-06-03,448.20758056640625,2.7513634238236113,175.13634238236114,22.43612945975444,True
2025-2020,2020-06-03,228.58883666992188,2025-06-03,524.7598876953125,2.2956496709988348,129.5649670998835,18.081299127498784,True
2026-2021,2021-06-03,320.241943359375,2026-06-03,744.0900268554688,2.323524579728309,132.35245797283088,18.36667665146099,True
