date,rel_day,price,log_norm,series,rel_plot,log_plot
2017-06-17,-183.0,2634.94,-1.9953290781858866,left_projected,-251.92,-1.0204112905842624
2017-06-18,-182.0,2515.25,-2.0418172873314577,left_projected,-250.68,-1.0441853607413074
2017-06-19,-181.0,2596.98,-2.0098402580642087,left_projected,-249.44,-1.0278323079740364
2017-06-20,-180.0,2725.08,-1.96169170403904,left_projected,-248.2,-1.003209137445565
2017-06-21,-179.0,2643.35,-1.9921424373924717,left_projected,-246.96,-1.01878164248251
2017-06-22,-178.0,2679.99,-1.9783764263489605,left_projected,-245.72,-1.0117417044348582
2017-06-23,-177.0,2690.76,-1.974365807930178,left_projected,-244.48,-1.009690674175493
2017-06-24,-176.0,2574.84,-2.018402093258628,left_projected,-243.24,-1.0322108304924622
2017-06-25,-175.0,2505.61,-2.0456572716550725,left_projected,-242.0,-1.046149128724404
2017-06-26,-174.0,2407.91,-2.085430338188667,left_projected,-240.76,-1.0664890749496843
2017-06-27,-173.0,2575.75,-2.0180487356784402,left_projected,-239.52,-1.0320301234259543
2017-06-28,-172.0,2553.12,-2.0268733488415007,left_projected,-238.28,-1.0365430305975434
2017-06-29,-171.0,2530.0,-2.035970186782052,left_projected,-237.04,-1.0411951535203412
2017-06-30,-170.0,2455.19,-2.06598533819433,left_projected,-235.8,-1.05654490195258
2017-07-01,-169.0,2423.63,-2.07892307322915,left_projected,-234.56,-1.0631612596493871
2017-07-02,-168.0,2516.66,-2.0412568639387882,left_projected,-233.32,-1.0438987602182963
2017-07-03,-167.0,2542.41,-2.0310770394375237,left_projected,-232.08,-1.0386927979683496
2017-07-04,-166.0,2602.0,-2.007909109431167,left_projected,-230.84,-1.0268447185630987
2017-07-05,-165.0,2616.96,-2.002176150767395,left_projected,-229.6,-1.0239128835024458
2017-07-06,-164.0,2604.84,-2.0068182365479466,left_projected,-228.35999999999999,-1.0262868461706198
2017-07-07,-163.0,2501.15,-2.0474388634148912,left_projected,-227.12,-1.0470602347503752
2017-07-08,-162.0,2561.11,-2.0237487312546163,left_projected,-225.88,-1.0349451011636106
2017-07-09,-161.0,2508.99,-2.0443092077967924,left_projected,-224.64,-1.0454597288672796
