case_id,case_type,left_cycle,right_cycle,left_anchor,right_anchor,left_anchor_price,right_anchor_price,pre_days,post_days,amp_by_vol,amp_scale,time_scale,shift_days,rmse
peak_half_year_2017_to_2021,peak_half_year,2017,2021,2017-12-17,2021-11-08,19378.99,67510.06,183,183,0.7114,0.5114,1.24,-25,0.15134
peak_half_year_2021_to_2025,peak_half_year,2021,2025,2021-11-08,2025-10-05,67510.06,124720.09,183,183,0.5794,0.3794,0.72,-80,0.08154
