from_cycle,to_cycle,from_index,to_index,from_date,to_date,target_date,span_days,date_delta_days,abs_date_delta_days,from_kind,to_kind,from_group,to_group,from_days_from_halving,to_days_from_halving,phase_delta_days,score
2021,2025,13,19,2021-06-06,2025-04-07,2025-05-16,1440,-39,39,drop_end,drop_end,low_or_start,low_or_start,391,352,-39,42.2515
2021,2025,14,20,2021-06-15,2025-05-22,2025-05-25,1440,-3,3,rally_end,rally_end,high_or_end,high_or_end,400,397,-3,4.5445
2021,2025,15,22,2021-07-18,2025-06-20,2025-06-27,1440,-7,7,drop_end,drop_end,low_or_start,low_or_start,433,426,-7,8.3745
2021,2025,16,23,2021-08-11,2025-07-12,2025-07-21,1440,-9,9,up_to_up,rally_end,up_continuation,high_or_end,457,448,-9,43.379
2021,2025,17,24,2021-09-04,2025-08-11,2025-08-14,1440,-3,3,rally_end,drop_start,high_or_end,high_or_end,481,478,-3,15.693
2021,2025,18,25,2021-09-27,2025-08-30,2025-09-06,1440,-7,7,drop_end,drop_end,low_or_start,low_or_start,504,497,-7,7.9585
2021,2025,19,29,2021-11-10,2025-10-26,2025-10-20,1440,6,6,rally_end,rally_end,high_or_end,high_or_end,548,554,6,9.074
2021,2025,20,34,2022-01-23,2025-12-30,2026-01-02,1440,-3,3,drop_end,rally_start,low_or_start,low_or_start,622,619,-3,17.548
2021,2025,21,35,2022-02-08,2026-01-15,2026-01-18,1440,-3,3,rally_end,rally_end,high_or_end,high_or_end,638,635,-3,3.82
2021,2025,22,37,2022-02-22,2026-02-22,2026-02-01,1440,21,21,drop_end,drop_end,low_or_start,low_or_start,652,673,21,23.1295
2021,2025,23,38,2022-04-03,2026-03-16,2026-03-13,1440,3,3,rally_end,rally_end,high_or_end,high_or_end,692,695,3,3.831
2021,2025,24,39,2022-05-11,2026-03-29,2026-04-20,1440,-22,22,drop_end,drop_end,low_or_start,low_or_start,730,708,-22,25.1235
2021,2025,25,40,2022-06-08,2026-05-08,2026-05-18,1440,-10,10,drop_start,rally_end,high_or_end,high_or_end,758,748,-10,23.7525
