date,price,gma200,estimate_price,ahr999
2014-12-01,370.0,,288.97509263630826,
2014-12-02,378.0,,289.75799725611245,
2014-12-03,378.0,,290.5426589433927,
2014-12-04,377.1,,291.32908082532816,
2014-12-05,377.1,,292.1172660332093,
2014-12-06,378.0,,292.9072177024504,
2014-12-07,378.0,,293.6989389725775,
2014-12-08,375.0,,294.4924329872528,
2014-12-09,375.0,,295.2877028942558,
2014-12-10,360.5,,296.08475184550724,
2014-12-11,360.5,,296.88358299705766,
2014-12-12,350.0,,297.68419950909947,
2014-12-13,350.0,,298.48660454596484,
2014-12-14,350.0,,299.2908012761357,
2014-12-15,350.0,,300.09679287223395,
2014-12-16,350.0,,300.90458251105133,
2014-12-17,350.0,,301.71417337352005,
2014-12-18,340.0,,302.52556864474485,
2014-12-19,340.0,,303.3387715139812,
2014-12-20,340.0,,304.15378517466,
2014-12-21,340.0,,304.970612824383,
2014-12-22,340.0,,305.78925766492017,
2014-12-23,340.0,,306.6097229022302,
2014-12-24,340.0,,307.4320117464429,
2014-12-25,340.0,,308.25612741187206,
2014-12-26,340.0,,309.0820731170304,
2014-12-27,340.0,,309.9098520846098,
2014-12-28,340.0,,310.7394675415041,
2014-12-29,340.0,,311.57092271880924,
2014-12-30,340.0,,312.40422085181575,
2014-12-31,340.0,,313.23936518002404,
2015-01-01,340.0,,314.0763589471473,
2015-01-02,340.0,,314.9152054011037,
2015-01-03,340.0,,315.75590779403467,
2015-01-04,340.0,,316.59846938230226,
2015-01-05,340.0,,317.442893426484,
2015-01-06,340.0,,318.28918319139655,
2015-01-07,340.0,,319.13734194607474,
2015-01-08,288.99,,319.98737296380045,
2015-01-09,288.99,,320.8392795220817,
2015-01-10,288.99,,321.6930649026737,
2015-01-11,288.99,,322.5487323915814,
2015-01-12,288.99,,323.40628527904653,
2015-01-13,260.0,,324.2657268595766,
2015-01-14,120.0,,325.1270604319186,
2015-01-15,204.22,,325.9902892990958,
2015-01-16,199.46,,326.855416768379,
2015-01-17,184.0,,327.722446151318,
2015-01-18,184.0,,328.59138076372625,
2015-01-19,225.51,,329.46222392569086,
2015-01-20,218.0,,330.3349789615759,
2015-01-21,225.51,,331.2096492000246,
2015-01-22,226.32,,332.08623797397036,
2015-01-23,235.0,,332.96474862062865,
2015-01-24,240.0,,333.84518448150783,
2015-01-25,254.53,,334.7275489024089,
2015-01-26,274.48,,335.6118452334395,
2015-01-27,263.65,,336.49807682899706,
2015-01-28,236.09,,337.3862470477936,
2015-01-29,235.03,,338.2763592528503,
2015-01-30,229.07,,339.16841681149725,
2015-01-31,218.45,,340.062423095379,
2015-02-01,228.99,,340.9583814804655,
2015-02-02,237.83,,341.85629534704935,
2015-02-03,228.58,,342.7561680797456,
2015-02-04,227.11,,343.6580030675056,
2015-02-05,216.76,,344.5618037036145,
2015-02-06,223.2,,345.4675733856877,
2015-02-07,229.0,,346.37531551569356,
2015-02-08,223.99,,347.2850334999366,
2015-02-09,221.1,,348.196730749074,
2015-02-10,220.87,,349.1104106781127,
2015-02-11,219.81,,350.0260767064207,
2015-02-12,223.21,,350.9437322577213,
2015-02-13,236.49,,351.86338076009565,
2015-02-14,256.66,,352.7850256460027,
2015-02-15,235.54,,353.7086703522647,
2015-02-16,234.68,,354.63431832008143,
2015-02-17,244.82,,355.5619729950215,
2015-02-18,237.49,,356.49163782705074,
2015-02-19,240.9,,357.42331627050055,
2015-02-20,245.34,,358.3570117841052,
2015-02-21,245.99,,359.2927278309814,
2015-02-22,236.83,,360.2304678786513,
2015-02-23,239.49,,361.1702353990279,
2015-02-24,239.87,,362.11203386842635,
2015-02-25,238.19,,363.0558667675756,
2015-02-26,237.11,,364.0017375816063,
2015-02-27,254.42,,364.9496498000715,
2015-02-28,255.59,,365.89960691692824,
2015-03-01,260.24,,366.8516124305703,
2015-03-02,276.7,,367.8056698438042,
2015-03-03,283.27,,368.7617826638754,
2015-03-04,273.37,,369.7199544024415,
2015-03-05,276.86,,370.68018857561674,
2015-03-06,273.23,,371.64248870394493,
2015-03-07,276.89,,372.6068583124108,
2015-03-08,275.5,,373.57330093044925,
2015-03-09,290.19,,374.5418200919417,
2015-03-10,293.47,,375.5124193352282,
2015-03-11,296.99,,376.48510220309754,
2015-03-12,296.05,,377.45987224280594,
2015-03-13,284.0,,378.43673300606997,
2015-03-14,283.95,,379.415688049085,
2015-03-15,288.0,,380.3967409324971,
2015-03-16,292.37,,381.3798952214489,
2015-03-17,286.74,,382.36515448554843,
2015-03-18,258.5,,383.3525222988934,
2015-03-19,263.05,,384.34200224006486,
2015-03-20,263.31,,385.3335978921297,
2015-03-21,261.9,,386.32731284265617,
2015-03-22,269.45,,387.3231506837101,
2015-03-23,267.53,,388.3211150118452,
2015-03-24,246.15,,389.3212094281375,
2015-03-25,246.88,,390.3234375381561,
2015-03-26,249.88,,391.3278029519885,
2015-03-27,247.81,,392.3343092842431,
2015-03-28,253.52,,393.34296015403294,
2015-03-29,243.69,,394.35375918500733,
2015-03-30,248.78,,395.3667100053383,
2015-03-31,245.5,,396.38181624772363,
2015-04-01,247.87,,397.39908154939917,
2015-04-02,254.39,,398.4185095521351,
2015-04-03,254.84,,399.4401039022484,
2015-04-04,254.36,,400.46386825058954,
2015-04-05,261.47,,401.48980625257434,
2015-04-06,256.85,,402.517921568151,
2015-04-07,254.27,,403.548217861842,
2015-04-08,246.58,,404.5806988027108,
2015-04-09,244.74,,405.6153680644075,
2015-04-10,236.78,,406.652229325122,
2015-04-11,237.91,,407.69128626763637,
2015-04-12,237.55,,408.73254257929455,
2015-04-13,225.73,,409.7760019520217,
2015-04-14,221.05,,410.82166808232705,
2015-04-15,224.35,,411.86954467129976,
2015-04-16,229.45,,412.9196354246253,
2015-04-17,223.62,,413.9719440525749,
2015-04-18,224.02,,415.02647427001466,
2015-04-19,224.03,,416.08322979641883,
2015-04-20,225.37,,417.142214355859,
2015-04-21,235.89,,418.20343167701674,
2015-04-22,233.98,,419.2668854931801,
2015-04-23,235.99,,420.3325795422595,
2015-04-24,231.51,,421.4005175667738,
2015-04-25,227.05,,422.4707033138735,
2015-04-26,221.27,,423.54314053533324,
2015-04-27,227.58,,424.61783298755114,
2015-04-28,225.64,,425.69478443156186,
2015-04-29,225.6,,426.7739986330362,
2015-04-30,236.81,,427.8554793622903,
2015-05-01,233.14,,428.9392303942752,
2015-05-02,235.94,,430.02525550860014,
2015-05-03,240.78,,431.1135584895177,
2015-05-04,239.75,,432.2041431259411,
2015-05-05,236.76,,433.29701321143966,
2015-05-06,230.0,,434.39217254424864,
2015-05-07,237.99,,435.48962492726866,
2015-05-08,244.54,,436.5893741680612,
2015-05-09,242.5,,437.6914240788837,
2015-05-10,241.57,,438.7957784766456,
2015-05-11,242.86,,439.90244118295425,
2015-05-12,242.03,,441.0114160241,
2015-05-13,236.32,,442.122706831055,
2015-05-14,237.46,,443.2363174394943,
2015-05-15,237.82,,444.35225168977695,
2015-05-16,236.73,,445.4705134269776,
2015-05-17,237.12,,446.5911065008532,
2015-05-18,234.04,,447.71403476588927,
2015-05-19,232.59,,448.8393020812702,
2015-05-20,234.54,,449.9669123109,
2015-05-21,235.77,,451.0968693233979,
2015-05-22,240.45,,452.22917699210865,
2015-05-23,239.36,,453.3638391951014,
2015-05-24,240.82,,454.50085981518015,
2015-05-25,237.43,,455.6402427398678,
2015-05-26,236.79,,456.7819918614425,
2015-05-27,237.35,,457.9261110769109,
2015-05-28,237.34,,459.0726042880328,
2015-05-29,236.89,,460.22147540131334,
2015-05-30,233.55,,461.3727283280055,
2015-05-31,230.21,,462.5263669841205,
2015-06-01,223.56,,463.68239529043433,
2015-06-02,225.85,,464.8408171724832,
2015-06-03,225.86,,466.00163656056606,
2015-06-04,224.57,,467.1648573897667,
2015-06-05,224.97,,468.3304835999185,
2015-06-06,225.48,,469.4985191356604,
2015-06-07,223.89,,470.6689679464016,
2015-06-08,229.1,,471.8418339863285,
2015-06-09,229.18,,473.0171212144378,
2015-06-10,228.73,,474.19483359449737,
2015-06-11,229.69,,475.3749750950913,
2015-06-12,229.47,,476.5575496895919,
2015-06-13,233.47,,477.74256135618174,
2015-06-14,233.6,,478.930014077853,
2015-06-15,236.99,,480.1199118424059,
2015-06-16,251.91,,481.3122586424596,
2015-06-17,250.25,,482.50705847545134,
2015-06-18,249.27,258.94396055954854,483.7043153436467,0.4960829251541087
2015-06-19,246.33,258.4177638942371,484.9040332541309,0.4842353082845214
2015-06-20,246.13,257.86400757875174,486.1062162188274,0.48328932302525396
2015-06-21,244.66,257.3037310671103,487.31086825449273,0.47739048822558877
2015-06-22,247.5,256.7625482199498,488.51799338271144,0.48835784073725463
2015-06-23,244.52,256.20698537719437,489.7275956299348,0.47652230193953976
2015-06-24,240.04,255.62594185844102,490.93967902743583,0.4591284199522331
2015-06-25,242.44,255.0589032521731,492.1542476113439,0.46823818218951074
2015-06-26,243.0,254.5061978441493,493.3713054226598,0.4702624444781271
2015-06-27,251.59,253.99880504962508,494.59085650721437,0.5038589687705536
2015-06-28,249.11,253.52985201463875,495.8129049157197,0.49366847452176627
2015-06-29,257.54,253.10387838965792,497.03745470373934,0.5272316412110994
