i,date,price,type,gap_days,ratio_vs_prev,confirmed
0,2014-12-01,370.0,H,,,False
1,2015-01-14,120.0,L,44.0,,True
2,2015-03-11,297.0,H,56.0,1.273,True
3,2015-04-14,221.1,L,34.0,0.607,True
4,2015-07-12,312.2,H,89.0,2.618,True
5,2015-08-24,211.2,L,43.0,0.483,True
6,2016-06-16,769.8,H,297.0,6.907,True
7,2016-08-02,537.5,L,47.0,0.158,True
8,2017-01-04,1130.3,H,155.0,3.298,True
9,2017-01-11,795.8,L,7.0,0.045,True
10,2017-03-03,1292.9,H,51.0,7.286,True
11,2017-03-24,934.9,L,21.0,0.412,True
12,2017-06-11,2999.0,H,79.0,3.762,True
13,2017-07-16,1911.8,L,35.0,0.443,True
14,2017-09-01,4948.0,H,47.0,1.343,True
15,2017-09-14,3250.4,L,13.0,0.277,True
16,2017-12-16,19650.0,H,93.0,7.154,True
17,2017-12-30,12840.0,L,14.0,0.151,True
18,2018-01-06,17099.0,H,7.0,0.5,True
19,2018-02-05,6905.2,L,30.0,4.286,True
20,2018-03-04,11469.9,H,27.0,0.9,True
21,2018-04-06,6619.0,L,33.0,1.222,True
22,2018-05-05,9800.0,H,29.0,0.879,True
23,2018-06-28,5851.7,L,54.0,1.862,True
24,2018-07-24,8385.5,H,26.0,0.481,True
25,2018-12-15,3183.0,L,144.0,5.538,True
26,2019-06-26,12902.5,H,193.0,1.34,True
27,2019-07-16,9436.0,L,20.0,0.104,True
28,2019-08-08,12017.9,H,23.0,1.15,True
29,2019-10-24,7439.3,L,77.0,3.348,True
30,2019-10-27,9570.6,H,3.0,0.039,True
31,2019-12-17,6618.6,L,51.0,17.0,True
32,2020-02-14,10380.0,H,59.0,1.157,True
33,2020-03-12,4980.0,L,27.0,0.458,True
34,2021-04-13,63660.9,H,397.0,14.704,True
35,2021-07-20,29788.6,L,98.0,0.247,True
36,2021-11-08,67510.1,H,111.0,1.133,True
37,2022-01-22,35108.2,L,75.0,0.676,True
38,2022-03-29,47430.7,H,66.0,0.88,True
39,2022-06-18,18989.2,L,81.0,1.227,True
40,2022-08-13,24447.1,H,56.0,0.691,True
41,2022-11-21,15755.8,L,100.0,1.786,True
42,2024-03-13,73098.5,H,478.0,4.78,True
43,2024-09-06,53930.4,L,177.0,0.37,True
44,2025-01-20,106159.3,H,136.0,0.768,True
45,2025-04-07,76251.6,L,77.0,0.566,True
46,2025-10-05,124720.1,H,181.0,2.351,True
47,2026-02-05,63846.0,L,123.0,0.68,True
48,2026-05-10,82103.8,H,94.0,0.764,True
49,2026-06-30,58586.0,L,51.0,0.543,False
