i,date,price,type,gap_days,ratio_vs_prev,confirmed
0,2014-12-01,370.0,H,,,False
1,2015-01-14,120.0,L,44.0,,True
2,2017-12-16,19650.0,H,1067.0,24.25,True
3,2018-02-05,6905.2,L,51.0,0.048,True
4,2018-03-04,11469.9,H,27.0,0.529,True
5,2018-12-15,3183.0,L,286.0,10.593,True
6,2019-06-26,12902.5,H,193.0,0.675,True
7,2020-03-12,4980.0,L,260.0,1.347,True
8,2021-04-13,63660.9,H,397.0,1.527,True
9,2021-07-20,29788.6,L,98.0,0.247,True
10,2021-11-08,67510.1,H,111.0,1.133,True
11,2022-11-21,15755.8,L,378.0,3.405,True
12,2025-10-05,124720.1,H,1049.0,2.775,True
13,2026-06-30,58586.0,L,268.0,0.255,False
