n,date,price,type
1,2023-09-11,25161.68,L
2,2023-10-12,26745.5,L
3,2023-10-31,34667.88,H
4,2023-11-27,37244.39,L
5,2023-12-08,44223.94,H
6,2024-01-08,47000.31,H
7,2024-01-22,39547.64,L
8,2024-02-23,50751.19,L
9,2024-03-13,73098.48,H
10,2024-05-20,71466.21,H
11,2024-09-06,53930.39,L
12,2024-11-03,67807.48,L
13,2024-11-12,90493.82,H
14,2024-11-21,99024.03,H
15,2024-12-16,106136.99,H
16,2025-01-08,92547.44,L
17,2025-01-20,106159.26,H
18,2025-02-19,98347.2,H
19,2025-02-25,84111.78,L
20,2025-03-09,78544.71,L
21,2025-03-23,87523.62,H
22,2025-04-07,76251.64,L
23,2025-05-03,94272.55,L
24,2025-05-09,104821.19,H
25,2025-05-21,111722.53,H
26,2025-06-04,101570.2,L
27,2025-06-08,110301.15,H
28,2025-06-21,100996.87,L
29,2025-07-04,108246.65,L
30,2025-07-13,119863.71,H
31,2025-08-01,112542.74,L
32,2025-08-12,123365.63,H
33,2025-08-30,108247.95,L
34,2025-09-17,117117.99,H
35,2025-10-05,124720.09,H
36,2025-10-16,106463.3,L
37,2025-10-25,114548.09,H
38,2025-11-09,106496.49,H
39,2025-11-21,84826.0,L
40,2025-12-03,93150.03,H
41,2025-12-18,85352.25,L
42,2026-01-14,96852.91,H
43,2026-01-27,89296.0,H
44,2026-01-27,89296.0,H
45,2026-02-02,78938.16,H
46,2026-02-05,63845.99,L
47,2026-02-05,63845.99,L
48,2026-02-05,63845.99,L
49,2026-03-16,74758.54,H
50,2026-03-29,65862.79,L
51,2026-05-10,82103.78,H
