i,date,price,type,gap_days,ratio_vs_prev,confirmed
0,2014-12-01,370.0,H,,,False
1,2015-01-14,120.0,L,44.0,,True
2,2017-03-24,934.9,L,800.0,18.182,True
3,2017-12-16,19650.0,H,267.0,0.334,True
4,2018-12-15,3183.0,L,364.0,1.363,True
5,2019-06-26,12902.5,H,193.0,0.53,True
6,2020-03-12,4980.0,L,260.0,1.347,True
7,2021-04-13,63660.9,H,397.0,1.527,True
8,2022-11-21,15755.8,L,587.0,1.479,True
9,2026-05-31,73688.4,H,1287.0,2.193,False
