ts,usd_per_btc,price_equalized,residual_log10,sigma_roll,k_equalizer
2015-09-23,230.94,48.57660310629203,-0.33853600977558784,0.030201006417380223,3.0
2015-09-24,230.36,47.9784521687042,-0.3406804183801575,0.030201006417380223,3.0
2015-09-25,234.36,50.27727309409182,-0.3342558873316639,0.030201006417380223,3.0
2015-09-26,235.08,50.49697612516627,-0.33397515484772855,0.030201006417380223,3.0
2015-09-27,234.14,49.65272676826828,-0.33676625523702164,0.030201006417380223,3.0
2015-09-28,232.84,48.594578961587224,-0.340234883498157,0.030201006417380223,3.0
2015-09-29,239.02,52.31393911238169,-0.3299084097425915,0.030201006417380223,3.0
2015-09-30,236.64,50.52189880078958,-0.33530424603075915,0.030201006417380223,3.0
2015-10-01,236.0,49.871514228046436,-0.3375297241244053,0.030201006417380223,3.0
2015-10-02,237.26,50.430390077877085,-0.33626609931805307,0.030201006417380223,3.0
2015-10-03,237.2,50.14941349907918,-0.3374244132053117,0.030201006417380223,3.0
2015-10-04,238.53,50.752183853747916,-0.33604413680369793,0.030201006417380223,3.0
2015-10-05,238.15,50.26691398397491,-0.3377841811320299,0.030201006417380223,3.0
2015-10-06,240.36,51.43072631381522,-0.3348197688966512,0.030201006417380223,3.0
2015-10-07,246.17,54.98546507863829,-0.32549361144668865,0.030201006417380223,3.0
2015-10-08,243.07,52.67977497126483,-0.33204372492114675,0.030201006417380223,3.0
2015-10-09,242.5,52.0586865750431,-0.3341092680728015,0.030201006417380223,3.0
2015-10-10,243.74,52.60746741955483,-0.3329397059508943,0.030201006417380223,3.0
2015-10-11,244.74,53.00192999969227,-0.33220663575794207,0.030201006417380223,3.0
2015-10-12,246.88,54.143363452022896,-0.3294703387708333,0.030201006417380223,3.0
2015-10-13,245.2,52.79106642053138,-0.33348001533553173,0.030201006417380223,3.0
2015-10-14,249.49,55.344038055955885,-0.32699114985794253,0.030201006417380223,3.0
2015-10-15,252.11,56.832250157563756,-0.3234976105066063,0.030201006417380223,3.0
2015-10-16,254.3,58.04673240677874,-0.32078429145836695,0.030201006417380223,3.0
2015-10-17,262.75,63.720881535674124,-0.3076304746783216,0.030201006417380223,3.0
2015-10-18,270.91,69.50954662920734,-0.29539029020692675,0.030201006417380223,3.0
2015-10-19,261.86,62.473152831435215,-0.31118786975553503,0.030201006417380223,3.0
2015-10-20,263.57,63.400296573375684,-0.30940234357462115,0.030201006417380223,3.0
2015-10-21,269.31,67.30991853719335,-0.3010867074786243,0.030201006417380223,3.0
2015-10-22,266.5,64.91310292403081,-0.30668242196956363,0.030201006417380223,3.0
2015-10-23,273.65,69.94344652738856,-0.29622421185982883,0.030201006417380223,3.0
2015-10-24,276.5,71.80701233133121,-0.2927641390968607,0.030201006417380223,3.0
2015-10-25,281.45,75.37144217685996,-0.2860972138704416,0.030201006417380223,3.0
