rel_day,dd_pct_2025,dd_pct_2021,dd_pct_2017,dd_pct_2021_scaled,dd_pct_2017_scaled
-440,-42.98216089143332,-83.1725604232615,-96.80818901262141,-38.50141409470126,-30.613437343597067
-439,-42.79573876841769,-82.99680842543708,-96.79642018380295,-38.42005672862075,-30.609715713151168
-438,-42.758878452877184,-83.23412987735111,-96.79568790112091,-38.529915213765356,-30.609484145034536
-437,-41.871231702270705,-82.9147355585285,-96.77094720764921,-38.38206437370579,-30.60166045080827
-436,-40.38112197630092,-82.96261139755852,-96.76137522687686,-38.40422658073952,-30.598633524712277
-435,-39.946460877459685,-82.6597234363483,-96.77366711475392,-38.264016699505746,-30.602520560955767
-434,-40.21989294541041,-82.71004192022677,-96.76100908553585,-38.28730963138813,-30.59851774065396
-433,-41.43224502892644,-82.2873903419007,-96.64787141116103,-38.0916599681807,-30.56274046663407
-432,-41.45479377570105,-83.11290067332615,-96.6731874695972,-38.473796996882484,-30.570746107237692
-431,-41.16178679344655,-84.85505419488723,-96.66806149082294,-39.280257370457875,-30.56912513042126
-430,-41.276879179100575,-84.4373471218908,-96.65080054188918,-39.086896568459245,-30.563666739100608
-429,-43.124288117731325,-84.94854087499684,-96.65723416830994,-39.32353329421112,-30.56570123041103
-428,-42.34558332653238,-84.78010200780966,-96.64290235010435,-39.24556124979871,-30.561169111556914
-427,-43.60906505241633,-84.64936869473793,-96.65550807341657,-39.18504348532288,-30.565155391278967
-426,-44.234946958487484,-84.99749739932344,-96.66220322936663,-39.346195761329405,-30.567272585488187
-425,-44.0806625022874,-84.83734872071287,-96.70127574104393,-39.272061328524565,-30.579628398568566
-424,-43.70288439783862,-84.64978320416677,-96.7003865406443,-39.18523536590326,-30.57934720871265
-423,-43.825842232442525,-84.58933884709828,-96.68830387639068,-39.157255065557344,-30.575526334788197
-422,-44.961575887895975,-84.5263630217323,-96.56025901884581,-39.12810292309555,-30.53503499553684
-421,-45.119020041096334,-84.70944295410212,-96.56266509051537,-39.21285246372204,-30.535795862205777
-420,-45.22235227107024,-84.19275695106406,-96.57919375676708,-38.97367332028015,-30.541022685409796
-419,-45.83412536968032,-84.01509524908536,-96.55994518341066,-38.89143193295431,-30.534935752058285
-418,-45.71998765183653,-83.75530146456543,-96.45256115868042,-38.771170779202045,-30.500977941811946
-417,-46.6287046813699,-83.7870262397792,-96.40135367684366,-38.78585649647888,-30.484784714227356
-416,-49.08471012483506,-83.81377690184698,-96.38937562440175,-38.79823964679117,-30.48099692146242
-415,-47.79768274242775,-83.57377594255372,-96.26473065073777,-38.687140790751975,-30.441580719895434
-414,-48.62431523705584,-83.81203004068261,-96.32477783066487,-38.79743100720243,-30.46056930545939
-413,-47.94711782408733,-84.51567460003172,-96.33157759842665,-39.123155145272925,-30.46271958082813
-412,-49.039426766756414,-84.40335734872664,-96.18130273089135,-39.07116236086821,-30.415198495178966
-411,-48.55907678722685,-84.8277853960334,-96.11707107849547,-39.267634369420115,-30.394886663234246
-410,-47.0509044083518,-84.06935157253774,-96.39549541538736,-38.916547730350295,-30.482932169294287
-409,-46.90660594641458,-84.1663615827924,-96.32012260504334,-38.96145463903675,-30.45909719386079
-408,-47.59099293731685,-84.0904027299591,-96.31865803967926,-38.92629252268238,-30.45863405762752
-407,-49.18536421590767,-84.0464055148703,-96.2824100469184,-38.90592576965077,-30.44717143585416
-406,-51.824919330570026,-84.14553248399365,-96.32242406490117,-38.951812639872735,-30.459824979370207
