rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_timewarp_scaled,dd_pct_ahr_2017_timewarp_scaled
-440,-4.348207198788224,-74.519194762966,-98.03062688810384,-18.598802238884964,-10.70929380920026
-439,-3.0557410145636332,-74.47500380748288,-98.02690220293925,-18.58777288135645,-10.70866216279089
-438,-2.0201190732905605,-74.30076101149352,-98.0282418339225,-18.5442846591009,-10.707847347067663
-437,-1.4758951289372404,-74.20600079770763,-98.02813267509747,-18.520634021410512,-10.707527721066164
-436,-1.1439807128519297,-73.87315654241559,-98.00792831612446,-18.43756140501662,-10.708381643821978
-435,-0.9138045903419759,-73.97481671231046,-97.99439951341317,-18.462934161679655,-10.709613019238137
-434,-0.5665161088242855,-74.67200617723172,-97.98015763492944,-18.63694153014828,-10.71008913778583
-433,-0.6955074889087738,-75.34323155691368,-97.96726683130113,-18.804468677135507,-10.708549707281886
-432,-2.3899496412303107,-76.18608952329734,-97.9572866617013,-19.01483257977968,-10.70373443554313
-431,-3.9308005879605292,-77.09428227873646,-97.94275543069578,-19.24150300351317,-10.698263757052736
-430,-5.897626158626622,-77.92808781442217,-97.93272962621677,-19.44960756386482,-10.692482058833829
-429,-7.548737543231131,-79.07587419406755,-97.94384234658192,-19.736076734062017,-10.686081911685578
-428,-9.108176300123827,-79.80184176849329,-97.95709050728489,-19.91726665957766,-10.678755886407162
-427,-10.630235256459146,-79.75702019277495,-97.9710415408091,-19.906079909298455,-10.670690252578511
-426,-12.142250660057032,-79.84958960608161,-97.98592567692187,-19.929183758138162,-10.663346396195225
-425,-13.283580851808807,-79.72423124459836,-97.97753622304184,-19.897896310902134,-10.656097200701295
-424,-14.83588418005011,-79.73333618576002,-97.97212285535484,-19.900168758968718,-10.648315549540703
-423,-15.85048381581436,-79.59649924874398,-97.96741101247282,-19.86601644239268,-10.642463668439731
-422,-16.832010182999646,-79.26205486423655,-97.9582589268455,-19.782544459272827,-10.63746033329267
-421,-17.819721507319006,-78.88864830317513,-97.92369825182072,-19.689348138432617,-10.635171369939519
-420,-19.33168399191529,-78.60250160548159,-97.88041097456254,-19.617930487468453,-10.637462604220277
-419,-21.746491385974537,-78.35251396606425,-97.83733150219727,-19.5555375606195,-10.641758946245142
-418,-23.1493504060717,-78.03397705925036,-97.79396390715374,-19.476035830166527,-10.645967563473665
-417,-24.79596270119939,-77.74184340584361,-97.76144740986392,-19.40312393056378,-10.649847777408965
-416,-26.121591535249383,-77.91599139249448,-97.72753010813376,-19.446588489920895,-10.653158909554168
-415,-27.608655573343224,-78.11576176839559,-97.66972796771422,-19.49644798889147,-10.65786820794373
-414,-28.954427080100807,-78.57284946124535,-97.61911056660767,-19.610529785295505,-10.663013308778375
