date,price,gma200,avg_index,estimate_price,estimate_index,ahr999
2015-09-23,230.94,,,612.163485343609,0.3772521647062513,
2015-09-24,230.36,,,613.6217421067463,0.3754104266402059,
2015-09-25,234.36,,,615.0828766394781,0.38102182470179013,
2015-09-26,235.08,,,616.5468934456912,0.3812848665674238,
2015-09-27,234.14,,,618.0137970344829,0.3788588557788069,
2015-09-28,232.84,,,619.4835919201522,0.37586144820767375,
2015-09-29,239.02,,,620.9562826222343,0.38492242801802923,
2015-09-30,236.64,,,622.4318736654626,0.3801861858494517,
2015-10-01,236.0,,,623.9103695798275,0.3782594608243717,
2015-10-02,237.26,,,625.3917749005336,0.3793781906353587,
2015-10-03,237.2,,,626.8760941680076,0.37838418501954957,
2015-10-04,238.53,,,628.3633319279476,0.3796052186370281,
2015-10-05,238.15,,,629.8534927312587,0.3781038015162871,
2015-10-06,240.36,,,631.3465811341239,0.3807100682611247,
2015-10-07,246.17,,,632.842601697944,0.388990879153071,
2015-10-08,243.07,,,634.3415589894086,0.3831847315620361,
2015-10-09,242.5,,,635.843457580431,0.3813831802607247,
2015-10-10,243.74,,,637.3483020482145,0.38242825660114715,
2015-10-11,244.74,,,638.8560969752174,0.3830909670562227,
2015-10-12,246.88,,,640.3668469491628,0.3855290154013848,
2015-10-13,245.2,,,641.8805565630454,0.38200253535163203,
2015-10-14,249.49,,,643.3972304151565,0.38776977612883856,
2015-10-15,252.11,,,644.9168731090493,0.39091859821346403,
2015-10-16,254.3,,,646.4394892535794,0.39338562112539127,
2015-10-17,262.75,,,647.9650834628706,0.40550024485240027,
2015-10-18,270.91,,,649.4936603563543,0.4171095370682467,
2015-10-19,261.86,,,651.0252245587632,0.40222711827714114,
2015-10-20,263.57,,,652.5597807001166,0.4039016926805108,
2015-10-21,269.31,,,654.0973334157516,0.4117277142740216,
2015-10-22,266.5,,,655.637887346309,0.406474374259635,
2015-10-23,273.65,,,657.1814471377419,0.4163994604410132,
2015-10-24,276.5,,,658.7280174413297,0.4197483523989121,
2015-10-25,281.45,,,660.2776029136538,0.4262601044742781,
2015-10-26,283.63,,,661.8302082166329,0.4285540256076693,
2015-10-27,285.18,,,663.3858380175262,0.42988557134749344,
2015-10-28,293.7,,,664.944496988893,0.44169100027141944,
2015-10-29,304.32,,,666.5061898086661,0.456589908170787,
2015-10-30,313.94,,,668.070921160095,0.4699201687372471,
2015-10-31,328.51,,,669.6386957317762,0.49057798196833097,
2015-11-01,315.01,,,671.209518217667,0.46931694418827535,
2015-11-02,325.94,,,672.783393317072,0.48446499012556593,
2015-11-03,361.87,,,674.3603257346354,0.5366122326454862,
2015-11-04,403.66,,,675.9403201803818,0.597182899064638,
2015-11-05,408.08,,,677.5233813697039,0.6023113168065312,
2015-11-06,388.05,,,679.1095140233417,0.5714100479921451,
2015-11-07,374.27,,,680.6987228674313,0.54983208786318,
2015-11-08,384.28,,,682.291012633457,0.5632200818779426,
2015-11-09,374.32,,,683.8863880583102,0.5473423751900796,
2015-11-10,379.98,,,685.4848538842479,0.554322969861219,
2015-11-11,339.82,,,687.0864148589344,0.4945811657035431,
2015-11-12,314.08,,,688.6910757354002,0.4560535355632685,
