rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_scaled,dd_pct_ahr_2017_scaled
-440,-5.021718285603727,-74.7211468895125,-98.03756016131322,-34.58916983418396,-31.00219863555343
-439,-4.805959991569864,-74.24536656649016,-98.03107891328062,-34.36892634111879,-31.00014908496708
-438,-5.058495737082646,-75.0077571330778,-98.0380959489629,-34.7218445963307,-31.002368066484948
-437,-2.5066547808966555,-74.10250846278352,-98.01577252885859,-34.302795889205285,-30.995308781215506
-436,2.1141237223347265,-74.29823998555041,-98.01200346228094,-34.39340197817363,-30.994116897711688
-435,3.157990633074803,-73.42954703154673,-98.03493998883862,-33.991275279499924,-31.001370064265206
-434,1.7894485371826807,-73.63743951499232,-98.02747772214741,-34.087510799382706,-30.999010288340024
-433,-2.6983173730065535,-72.39123710246815,-97.8961296485021,-33.510631178432746,-30.95747438044055
-432,-3.194727134000186,-74.95698775575418,-97.93637729430166,-34.698342941341124,-30.97020180355919
-431,-2.627476366458814,-79.88808338752665,-97.93840279957674,-36.980996666238916,-30.97084232456738
-430,-3.409594441488073,-78.80108612055724,-97.92553690346043,-36.477814707159865,-30.966773770980712
-429,-9.746971343916034,-80.19824575023613,-97.9421422750821,-37.1245739410336,-30.972024850552515
-428,-7.627965994036723,-79.78689631962047,-97.93322137179999,-36.93415615558662,-30.96920381323676
-427,-11.978330457479968,-79.47407826479242,-97.9572970907943,-36.78934953422084,-30.97681722406958
-426,-14.256097065238116,-80.42574175998577,-97.97391869105826,-37.22988413025574,-30.982073435588678
-425,-14.11079843224905,-80.03876077673435,-98.02911441922235,-37.050746743993784,-30.99952785739968
-424,-13.281889060806062,-79.5743323574983,-98.03606003424625,-36.83575816127662,-31.0017242537223
-423,-13.993702266673258,-79.44907201370378,-98.02972585624981,-36.77777388928193,-30.999721210764935
-422,-17.736282686178484,-79.32073721985333,-97.88341609792191,-36.71836642345847,-30.953454002742436
-421,-18.494089291725814,-79.8506309077522,-97.8953277979909,-36.96365953695816,-30.957220813044717
-420,-19.080527907829737,-78.51621970568014,-97.92431419062031,-36.34594718083818,-30.966387115230802
-419,-21.126781635535107,-78.08463106843364,-97.90985409166701,-36.14616046324005,-30.96181443044242
-418,-21.024777702484577,-77.42491484930446,-97.78718969404885,-35.840771195332174,-30.923024542013827
-417,-23.86562645298006,-77.57130547364359,-97.73304909343895,-35.908536886547886,-30.905903780832148
-416,-30.897354025088,-77.69915853778234,-97.72816954969304,-35.96772135484647,-30.904360733614197
-415,-27.556295826858612,-77.09097887215621,-97.57984293261708,-35.68618887549166,-30.857455738855432
-414,-30.020375357619656,-77.80569533390486,-97.66771231696228,-36.01703830845427,-30.885242477968188
-413,-28.359929746179656,-79.73525561223624,-97.68689307850909,-36.91025115315522,-30.891307967342637
-412,-31.536229902192026,-79.4830236997413,-97.50523910873021,-36.79349046595928,-30.833863938291373
-411,-30.44517824978763,-80.62452869925298,-97.43286788630317,-37.32190460222866,-30.810978148299363
-410,-26.52246330064123,-78.69825840691969,-97.79759126210287,-36.43021472511021,-30.92631380664262
-409,-26.337291422930154,-79.0170889056695,-97.7148654688635,-36.57780456719175,-30.900153613854563
-408,-28.43835943984965,-78.87653333583549,-97.72318137522032,-36.5127399813481,-30.902783334344186
-407,-32.914241044410375,-78.82118992539414,-97.6883644049849,-36.48712096045981,-30.891773241627163
-406,-39.86162940471316,-79.19106793404576,-97.7475036187624,-36.65834120789657,-30.910474703084013
-405,-40.771843087574766,-78.7660473726245,-97.71410445632908,-36.461594918606366,-30.899912960560894
-404,-37.58638092261349,-79.06126051220923,-97.63995058952331,-36.598252047778615,-30.876463448919395
-403,-42.7333496637059,-79.83242894886347,-97.69713244525121,-36.95523366726095,-30.89454593941293
-402,-41.10292571539811,-80.10373030972492,-97.69916623182752,-37.08082179375154,-30.895189079198506
-401,-38.45791306119794,-80.2926698597725,-97.78184209763809,-37.16828381028955,-30.921333483547293
-400,-39.24811405591683,-79.9177307707495,-97.81138623747859,-36.9947207378856,-30.93067616088794
-399,-40.211182060409186,-79.54944221556882,-97.79716084591998,-36.82423626443437,-30.926177697094648
-398,-39.17095575185636,-80.35337688879325,-97.77296498311019,-37.196385704121994,-30.918526293451457
-397,-36.54444535050684,-80.18910008516724,-97.56797092303839,-37.12034032076032,-30.85370147978823
-396,-33.27210538645562,-79.31065578191925,-97.60592564005586,-36.71369962452148,-30.865703815160465
-395,-24.514436239209626,-78.89673115979441,-97.54495938253575,-36.52208975704451,-30.846424591742476
-394,-24.04051199192828,-78.0693881430263,-97.55588736996532,-36.139104359879326,-30.849880324794388
-393,-26.556724735716774,-77.78259833321974,-97.69840825158201,-36.006346474714896,-30.894949384798785
-392,-27.086189335455224,-77.26230491268596,-97.65607479461355,-35.765497421460104,-30.881562370273876
-391,-20.956682826469454,-77.82452554733604,-97.58959766393471,-36.02575500349306,-30.8605404557481
-390,-20.117625781475578,-77.93085503304235,-97.6455465331297,-36.07497599102575,-30.8782330416648
-389,-18.024935124411357,-77.73969429909859,-97.68218672160948,-35.98648576613955,-30.8898196866142
-388,-19.639785296614875,-78.52369145881451,-97.68570455538452,-36.349405930454346,-30.890932123330096
-387,-23.763100853547847,-78.48547862697579,-97.73359529245288,-36.33171682656159,-30.906076504126123
-386,-25.25949107741893,-78.04609001477847,-97.7617457832476,-36.12831942216987,-30.914978470942415
-385,-24.581352083061457,-77.17072370488245,-97.7481566857851,-35.72310355998713,-30.910681221009664
-384,-19.824125665459626,-76.61504845066588,-97.75839249417727,-35.465875900337174,-30.913918067830895
-383,-20.303300449612284,-73.11703650703247,-97.708809423472,-33.84661101700704,-30.898238524149516
-382,-19.477335941799556,-72.52516833400533,-97.6483965878572,-33.57262929150495,-30.879134308104305
-381,-23.058933303521243,-72.80957187679256,-97.52973537631317,-33.70428254968442,-30.841610338264882
-380,-24.716955928884776,-72.183981504393,-97.58284635409585,-33.41469047918857,-30.85840550412007
-379,-28.47820565340945,-72.6251393638629,-97.58319938762081,-33.6189068859235,-30.858517143122995
-378,-27.097396219956813,-72.55709473004599,-97.68507907878083,-33.587408341088825,-30.890734330261015
-377,-35.8042312568949,-70.21594457179397,-97.6625727927646,-32.503666404541114,-30.883617217712768
-376,-37.51027095583308,-71.99365250792046,-97.65006580139199,-33.32658527393666,-30.879662159771414
-375,-42.83013328736012,-71.41908584223131,-97.65002800698007,-33.060612590059506,-30.879650208128965
-374,-50.764217423903055,-71.09311820201866,-97.64249606195615,-32.90971889346735,-30.87726839798029
-373,-47.08883386525634,-70.22854519609764,-97.64321338725641,-32.509499360166124,-30.877495236157497
-372,-49.103057027827425,-70.56535687212454,-97.6827076040441,-32.66541286991802,-30.889984404102854
-371,-36.150873747832165,-71.49013254133587,-97.62964569766721,-33.09350082108625,-30.8732047559887
-370,-38.08856536488482,-69.92463481709414,-97.64418764932854,-32.36881619146066,-30.877803324876083
-369,-38.15387323024003,-69.2735339064261,-97.65315697512766,-32.06741503642232,-30.880639674736216
-368,-42.756461565120084,-62.85911095378091,-97.66905941126642,-29.09811418742166,-30.8856684665906
-367,-41.68364913590526,-63.12598342660954,-97.64105007699807,-29.221652137132033,-30.876811137387303
-366,-39.36676779503321,-66.68649778436429,-97.61538998818247,-30.86985001610109,-30.86869670482535
-365,-43.21823473783583,-63.91175470542048,-97.6267079598664,-29.58539355900561,-30.8722757617268
-364,-45.60501489430053,-64.77054539835687,-97.62671895372502,-29.982936401514667,-30.87227923829015
-363,-43.20162740946286,-65.13119791549322,-97.58516032831136,-30.14988607621386,-30.85913724701686
-362,-42.24122726387881,-63.41763743678446,-97.38875749755186,-29.35666170953164,-30.797029218606404
-361,-44.28903848284547,-60.88866216809363,-97.20430357643211,-28.185973641740812,-30.738699767197655
-360,-42.49465328955654,-60.887238077818814,-96.83523181972168,-28.185314416040654,-30.62198903007321
-359,-43.561931065979046,-62.262494105531175,-97.00067865056756,-28.821934252435383,-30.67430791178617
-358,-39.536844568158216,-62.94990644156668,-97.0313113470596,-29.14014433120202,-30.683994820964916
-357,-41.24635020829237,-59.66830013788815,-96.96811044985006,-27.621055793459078,-30.664008942430083
-356,-33.980086708341084,-55.111793675741694,-96.80286644009465,-25.511803159759722,-30.611754198377465
-355,-34.029804871782574,-54.51817683725324,-96.53637314315296,-25.2370119594417,-30.52748161842713
-354,-33.879383891611184,-54.66958280537426,-96.56806586908091,-25.30709930369768,-30.537503738346313
-353,-37.01897640788911,-50.733337236272725,-96.66341026586336,-23.484971670940254,-30.56765428394305
-352,-43.71543892903258,-50.86803537283091,-96.65473571355041,-23.547324792053995,-30.56491114964393
-351,-44.73569452115625,-52.51937543385803,-96.42124049148948,-24.311746702083266,-30.491073477195997
-350,-44.17226456308156,-52.754325655161985,-96.26743475668381,-24.42050752074787,-30.44243583327782
-349,-44.78388285954602,-49.11121481532047,-96.11322949493356,-22.734074900135603,-30.3936718478465
-348,-45.16220330972745,-51.31604468430895,-95.25178854464585,-23.75471280477981,-30.121260300581593
-347,-48.25401099217614,-59.35567484436572,-96.36198208356018,-27.4763384032389,-30.472334323238798
-346,-45.08378357719207,-59.74244634594827,-97.12182280967447,-27.655378818331062,-30.71261705858653
-345,-48.23151666611385,-57.045762632586225,-97.10222466052959,-26.407056826051132,-30.70641957966438
-344,-47.3351043563758,-55.0055559321905,-97.08181753864244,-25.462624640592633,-30.699966281099176
-343,-50.64379814141362,-47.76613248904802,-97.16131292316929,-22.111422773379672,-30.72510492895675
-342,-54.50950561348093,-52.3308885804521,-97.13571439130992,-24.224494243370216,-30.71700996241355
-341,-54.22833345868183,-50.50384466902028,-97.91863054697728,-23.378737255184898,-30.96458978929873
-340,-53.09152051535104,-49.49828747287638,-97.76961967788765,-22.91325472335442,-30.91746841505429
-339,-49.388276083923564,-53.52616796817178,-97.6565970304442,-24.77780108436757,-30.88172751574394
